period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PO,IT,EXTRHOT,520.0,6261.0
2009-02-01,TUS,PO,IT,EXTRHOT,632.0,6350.0
2009-03-01,TUS,PO,IT,EXTRHOT,689.0,7625.0
2009-04-01,TUS,PO,IT,EXTRHOT,1052.0,7866.0
2009-05-01,TUS,PO,IT,EXTRHOT,1257.0,8615.0
2009-06-01,TUS,PO,IT,EXTRHOT,733.0,6482.0
2009-07-01,TUS,PO,IT,EXTRHOT,924.0,7239.0
2009-08-01,TUS,PO,IT,EXTRHOT,841.0,6969.0
2009-09-01,TUS,PO,IT,EXTRHOT,1175.0,7126.0
2009-10-01,TUS,PO,IT,EXTRHOT,1200.0,8017.0
2009-11-01,TUS,PO,IT,EXTRHOT,1007.0,7649.0
2009-12-01,TUS,PO,IT,EXTRHOT,869.0,6886.0
2010-01-01,TUS,PO,IT,EXTRHOT,562.0,6612.0
2010-02-01,TUS,PO,IT,EXTRHOT,544.0,6210.0
2010-03-01,TUS,PO,IT,EXTRHOT,659.0,6955.0
2010-04-01,TUS,PO,IT,EXTRHOT,1202.0,8173.0
2010-05-01,TUS,PO,IT,EXTRHOT,1175.0,8267.0
2010-06-01,TUS,PO,IT,EXTRHOT,1184.0,8201.0
2010-07-01,TUS,PO,IT,EXTRHOT,1054.0,8156.0
2010-08-01,TUS,PO,IT,EXTRHOT,767.0,6962.0
2010-09-01,TUS,PO,IT,EXTRHOT,1235.0,7627.0
2010-10-01,TUS,PO,IT,EXTRHOT,1453.0,7939.0
2010-11-01,TUS,PO,IT,EXTRHOT,757.0,7126.0
2010-12-01,TUS,PO,IT,EXTRHOT,757.0,7405.0
2011-01-01,TUS,PO,IT,EXTRHOT,594.0,7687.0
2011-02-01,TUS,PO,IT,EXTRHOT,612.0,7030.0
2011-03-01,TUS,PO,IT,EXTRHOT,723.0,8448.0
2011-04-01,TUS,PO,IT,EXTRHOT,996.0,8679.0
2011-05-01,TUS,PO,IT,EXTRHOT,1221.0,9172.0
2011-06-01,TUS,PO,IT,EXTRHOT,1065.0,8465.0
2011-07-01,TUS,PO,IT,EXTRHOT,1310.0,8712.0
2011-08-01,TUS,PO,IT,EXTRHOT,899.0,8302.0
2011-09-01,TUS,PO,IT,EXTRHOT,1236.0,8222.0
2011-10-01,TUS,PO,IT,EXTRHOT,1345.0,8333.0
2011-11-01,TUS,PO,IT,EXTRHOT,801.0,7503.0
2011-12-01,TUS,PO,IT,EXTRHOT,798.0,7529.0
2012-01-01,TUS,PO,IT,EXTRHOT,726.0,7576.0
2012-02-01,TUS,PO,IT,EXTRHOT,662.0,7063.0
2012-03-01,TUS,PO,IT,EXTRHOT,884.0,7943.0
2012-04-01,TUS,PO,IT,EXTRHOT,1241.0,8861.0
2012-05-01,TUS,PO,IT,EXTRHOT,1280.0,9024.0
2012-06-01,TUS,PO,IT,EXTRHOT,1072.0,8377.0
2012-07-01,TUS,PO,IT,EXTRHOT,1124.0,8214.0
2012-08-01,TUS,PO,IT,EXTRHOT,727.0,7903.0
2012-09-01,TUS,PO,IT,EXTRHOT,1276.0,8399.0
2012-10-01,TUS,PO,IT,EXTRHOT,1039.0,8432.0
2012-11-01,TUS,PO,IT,EXTRHOT,892.0,7854.0
2012-12-01,TUS,PO,IT,EXTRHOT,839.0,7802.0
2013-01-01,TUS,PO,IT,EXTRHOT,591.0,7559.0
2013-02-01,TUS,PO,IT,EXTRHOT,571.0,7072.0
2013-03-01,TUS,PO,IT,EXTRHOT,705.0,8698.0
2013-04-01,TUS,PO,IT,EXTRHOT,799.0,8888.0
2013-05-01,TUS,PO,IT,EXTRHOT,1052.0,9541.0
2013-06-01,TUS,PO,IT,EXTRHOT,1075.0,8416.0
2013-07-01,TUS,PO,IT,EXTRHOT,956.0,9283.0
2013-08-01,TUS,PO,IT,EXTRHOT,687.0,8877.0
2013-09-01,TUS,PO,IT,EXTRHOT,1157.0,9066.0
2013-10-01,TUS,PO,IT,EXTRHOT,1421.0,9842.0
2013-11-01,TUS,PO,IT,EXTRHOT,969.0,9923.0
2013-12-01,TUS,PO,IT,EXTRHOT,1007.0,10079.0
2014-01-01,TUS,PO,IT,EXTRHOT,745.0,9093.0
2014-02-01,TUS,PO,IT,EXTRHOT,631.0,7579.0
2014-03-01,TUS,PO,IT,EXTRHOT,718.0,8942.0
2014-04-01,TUS,PO,IT,EXTRHOT,1274.0,9939.0
2014-05-01,TUS,PO,IT,EXTRHOT,1423.0,10084.0
2014-06-01,TUS,PO,IT,EXTRHOT,1024.0,9002.0
2014-07-01,TUS,PO,IT,EXTRHOT,922.0,9045.0
2014-08-01,TUS,PO,IT,EXTRHOT,601.0,7436.0
2014-09-01,TUS,PO,IT,EXTRHOT,1115.0,7931.0
2014-10-01,TUS,PO,IT,EXTRHOT,1018.0,7922.0
2014-11-01,TUS,PO,IT,EXTRHOT,860.0,7633.0
2014-12-01,TUS,PO,IT,EXTRHOT,895.0,7129.0
2015-01-01,TUS,PO,IT,EXTRHOT,718.0,7455.0
2015-02-01,TUS,PO,IT,EXTRHOT,618.0,7167.0
2015-03-01,TUS,PO,IT,EXTRHOT,951.0,8143.0
2015-04-01,TUS,PO,IT,EXTRHOT,1162.0,8060.0
2015-05-01,TUS,PO,IT,EXTRHOT,1439.0,8945.0
2015-06-01,TUS,PO,IT,EXTRHOT,892.0,7884.0
2015-07-01,TUS,PO,IT,EXTRHOT,976.0,7712.0
2015-08-01,TUS,PO,IT,EXTRHOT,627.0,6879.0
2015-09-01,TUS,PO,IT,EXTRHOT,1274.0,7273.0
2015-10-01,TUS,PO,IT,EXTRHOT,1185.0,7903.0
2015-11-01,TUS,PO,IT,EXTRHOT,939.0,7812.0
2015-12-01,TUS,PO,IT,EXTRHOT,1031.0,7621.0
2016-01-01,TUS,PO,IT,EXTRHOT,741.0,7139.0
2016-02-01,TUS,PO,IT,EXTRHOT,734.0,7097.0
2016-03-01,TUS,PO,IT,EXTRHOT,1012.0,8455.0
2016-04-01,TUS,PO,IT,EXTRHOT,1203.0,7719.0
2016-05-01,TUS,PO,IT,EXTRHOT,1554.0,9194.0
2016-06-01,TUS,PO,IT,EXTRHOT,1164.0,7509.0
2016-07-01,TUS,PO,IT,EXTRHOT,1155.0,7650.0
2016-08-01,TUS,PO,IT,EXTRHOT,923.0,6906.0
2016-09-01,TUS,PO,IT,EXTRHOT,1127.0,7898.0
2016-10-01,TUS,PO,IT,EXTRHOT,1419.0,8426.0
2016-11-01,TUS,PO,IT,EXTRHOT,653.0,6843.0
2016-12-01,TUS,PO,IT,EXTRHOT,983.0,7836.0
2017-01-01,TUS,PO,IT,EXTRHOT,791.0,7447.0
2017-02-01,TUS,PO,IT,EXTRHOT,934.0,7352.0
2017-03-01,TUS,PO,IT,EXTRHOT,940.0,7694.0
2017-04-01,TUS,PO,IT,EXTRHOT,1343.0,8170.0
2017-05-01,TUS,PO,IT,EXTRHOT,1204.0,7909.0
2017-06-01,TUS,PO,IT,EXTRHOT,1682.0,8599.0
2017-07-01,TUS,PO,IT,EXTRHOT,1357.0,9251.0
2017-08-01,TUS,PO,IT,EXTRHOT,896.0,8108.0
2017-09-01,TUS,PO,IT,EXTRHOT,1477.0,8345.0
2017-10-01,TUS,PO,IT,EXTRHOT,1521.0,8704.0
2017-11-01,TUS,PO,IT,EXTRHOT,1098.0,8115.0
2017-12-01,TUS,PO,IT,EXTRHOT,1348.0,8298.0
2018-01-01,TUS,PO,IT,EXTRHOT,1117.0,7972.0
2018-02-01,TUS,PO,IT,EXTRHOT,1091.0,6984.0
2018-03-01,TUS,PO,IT,EXTRHOT,1163.0,7965.0
2018-04-01,TUS,PO,IT,EXTRHOT,1282.0,8404.0
2018-05-01,TUS,PO,IT,EXTRHOT,1568.0,8665.0
2018-06-01,TUS,PO,IT,EXTRHOT,1957.0,9190.0
