period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,PO,WLD,EXTRHOT,983.0,10109.0
2016-02-01,TUS,PO,WLD,EXTRHOT,1087.0,10452.0
2016-03-01,TUS,PO,WLD,EXTRHOT,1871.0,13535.0
2016-04-01,TUS,PO,WLD,EXTRHOT,2181.0,12781.0
2016-05-01,TUS,PO,WLD,EXTRHOT,2943.0,15098.0
2016-06-01,TUS,PO,WLD,EXTRHOT,2733.0,15205.0
2016-07-01,TUS,PO,WLD,EXTRHOT,3288.0,19406.0
2016-08-01,TUS,PO,WLD,EXTRHOT,2765.0,17955.0
2016-09-01,TUS,PO,WLD,EXTRHOT,2739.0,15552.0
2016-10-01,TUS,PO,WLD,EXTRHOT,2438.0,13757.0
2016-11-01,TUS,PO,WLD,EXTRHOT,1110.0,10653.0
2016-12-01,TUS,PO,WLD,EXTRHOT,1255.0,10745.0
2017-01-01,TUS,PO,WLD,EXTRHOT,1145.0,11376.0
2017-02-01,TUS,PO,WLD,EXTRHOT,1284.0,10478.0
2017-03-01,TUS,PO,WLD,EXTRHOT,1476.0,12205.0
2017-04-01,TUS,PO,WLD,EXTRHOT,2434.0,13607.0
2017-05-01,TUS,PO,WLD,EXTRHOT,2839.0,14378.0
2017-06-01,TUS,PO,WLD,EXTRHOT,3924.0,17426.0
2017-07-01,TUS,PO,WLD,EXTRHOT,3895.0,21917.0
2017-08-01,TUS,PO,WLD,EXTRHOT,3072.0,20529.0
2017-09-01,TUS,PO,WLD,EXTRHOT,3272.0,17641.0
2017-10-01,TUS,PO,WLD,EXTRHOT,2877.0,15935.0
2017-11-01,TUS,PO,WLD,EXTRHOT,1741.0,13106.0
2017-12-01,TUS,PO,WLD,EXTRHOT,1821.0,12547.0
2018-01-01,TUS,PO,WLD,EXTRHOT,1646.0,11439.0
2018-02-01,TUS,PO,WLD,EXTRHOT,1660.0,10389.0
2018-03-01,TUS,PO,WLD,EXTRHOT,2071.0,12887.0
2018-04-01,TUS,PO,WLD,EXTRHOT,2509.0,14462.0
2018-05-01,TUS,PO,WLD,EXTRHOT,3403.0,15730.0
2018-06-01,TUS,PO,WLD,EXTRHOT,4190.0,19257.0
2018-07-01,TUS,PO,WLD,EXTRHOT,3999.0,20920.0
2018-08-01,TUS,PO,WLD,EXTRHOT,3657.0,20332.0
2018-09-01,TUS,PO,WLD,EXTRHOT,3712.0,17861.0
2018-10-01,TUS,PO,WLD,EXTRHOT,2926.0,16028.0
2018-11-01,TUS,PO,WLD,EXTRHOT,1915.0,13613.0
2018-12-01,TUS,PO,WLD,EXTRHOT,1876.0,12436.0
2019-01-01,TUS,PO,WLD,EXTRHOT,1839.0,12933.0
2019-02-01,TUS,PO,WLD,EXTRHOT,1540.0,10664.0
2019-03-01,TUS,PO,WLD,EXTRHOT,2096.0,12775.0
2019-04-01,TUS,PO,WLD,EXTRHOT,2957.0,15561.0
2019-05-01,TUS,PO,WLD,EXTRHOT,3513.0,15825.0
2019-06-01,TUS,PO,WLD,EXTRHOT,4035.0,17797.0
2019-07-01,TUS,PO,WLD,EXTRHOT,4028.0,20922.0
2019-08-01,TUS,PO,WLD,EXTRHOT,3947.0,21016.0
2019-09-01,TUS,PO,WLD,EXTRHOT,3655.0,18175.0
2019-10-01,TUS,PO,WLD,EXTRHOT,3497.0,17046.0
2019-11-01,TUS,PO,WLD,EXTRHOT,2378.0,14410.0
2019-12-01,TUS,PO,WLD,EXTRHOT,1934.0,12953.0
2020-01-01,TUS,PO,WLD,EXTRHOT,2076.0,9977.0
2020-02-01,TUS,PO,WLD,EXTRHOT,1553.0,7858.0
2020-03-01,TUS,PO,WLD,EXTRHOT,383.0,5582.0
2020-04-01,TUS,PO,WLD,EXTRHOT,108.0,3856.0
2020-05-01,TUS,PO,WLD,EXTRHOT,478.0,4938.0
2020-06-01,TUS,PO,WLD,EXTRHOT,1181.0,6066.0
2020-07-01,TUS,PO,WLD,EXTRHOT,1906.0,8219.0
2020-08-01,TUS,PO,WLD,EXTRHOT,3026.0,13266.0
2020-09-01,TUS,PO,WLD,EXTRHOT,1950.0,9283.0
2020-10-01,TUS,PO,WLD,EXTRHOT,1405.0,8184.0
2020-11-01,TUS,PO,WLD,EXTRHOT,668.0,5817.0
2020-12-01,TUS,PO,WLD,EXTRHOT,582.0,5419.0
2021-01-01,TUS,PO,WLD,EXTRHOT,577.0,5355.0
2021-02-01,TUS,PO,WLD,EXTRHOT,703.0,5617.0
2021-03-01,TUS,PO,WLD,EXTRHOT,852.0,6619.0
2021-04-01,TUS,PO,WLD,EXTRHOT,724.0,6161.0
2021-05-01,TUS,PO,WLD,EXTRHOT,1173.0,6990.0
2021-06-01,TUS,PO,WLD,EXTRHOT,1933.0,8660.0
2021-07-01,TUS,PO,WLD,EXTRHOT,3375.0,13639.0
2021-08-01,TUS,PO,WLD,EXTRHOT,3934.0,16972.0
2021-09-01,TUS,PO,WLD,EXTRHOT,2785.0,10194.0
2021-10-01,TUS,PO,WLD,EXTRHOT,2649.0,9793.0
2021-11-01,TUS,PO,WLD,EXTRHOT,1630.0,7413.0
2021-12-01,TUS,PO,WLD,EXTRHOT,1354.0,6911.0
