period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PO,EXTR,HOT,5814.0,12613.0
2009-02-01,TUS,PO,EXTR,HOT,6804.0,14623.0
2009-03-01,TUS,PO,EXTR,HOT,8674.0,17535.0
2009-04-01,TUS,PO,EXTR,HOT,9842.0,16212.0
2009-05-01,TUS,PO,EXTR,HOT,10323.0,17759.0
2009-06-01,TUS,PO,EXTR,HOT,8368.0,17483.0
2009-07-01,TUS,PO,EXTR,HOT,8461.0,16673.0
2009-08-01,TUS,PO,EXTR,HOT,10117.0,18671.0
2009-09-01,TUS,PO,EXTR,HOT,10965.0,20157.0
2009-10-01,TUS,PO,EXTR,HOT,9492.0,15911.0
2009-11-01,TUS,PO,EXTR,HOT,6815.0,13051.0
2009-12-01,TUS,PO,EXTR,HOT,6824.0,12497.0
2010-01-01,TUS,PO,EXTR,HOT,5622.0,12021.0
2010-02-01,TUS,PO,EXTR,HOT,7818.0,12788.0
2010-03-01,TUS,PO,EXTR,HOT,8410.0,17057.0
2010-04-01,TUS,PO,EXTR,HOT,10330.0,18598.0
2010-05-01,TUS,PO,EXTR,HOT,13231.0,21617.0
2010-06-01,TUS,PO,EXTR,HOT,11510.0,18939.0
2010-07-01,TUS,PO,EXTR,HOT,10356.0,17586.0
2010-08-01,TUS,PO,EXTR,HOT,10178.0,17509.0
2010-09-01,TUS,PO,EXTR,HOT,12286.0,23095.0
2010-10-01,TUS,PO,EXTR,HOT,10881.0,19207.0
2010-11-01,TUS,PO,EXTR,HOT,8014.0,13551.0
2010-12-01,TUS,PO,EXTR,HOT,7348.0,12054.0
2011-01-01,TUS,PO,EXTR,HOT,5278.0,11603.0
2011-02-01,TUS,PO,EXTR,HOT,7321.0,13844.0
2011-03-01,TUS,PO,EXTR,HOT,9412.0,18659.0
2011-04-01,TUS,PO,EXTR,HOT,11380.0,21404.0
2011-05-01,TUS,PO,EXTR,HOT,12424.0,23635.0
2011-06-01,TUS,PO,EXTR,HOT,12741.0,25308.0
2011-07-01,TUS,PO,EXTR,HOT,13870.0,27232.0
2011-08-01,TUS,PO,EXTR,HOT,15366.0,23982.0
2011-09-01,TUS,PO,EXTR,HOT,12098.0,22113.0
2011-10-01,TUS,PO,EXTR,HOT,10746.0,19394.0
2011-11-01,TUS,PO,EXTR,HOT,7747.0,13588.0
2011-12-01,TUS,PO,EXTR,HOT,6309.0,10421.0
2012-01-01,TUS,PO,EXTR,HOT,6922.0,11192.0
2012-02-01,TUS,PO,EXTR,HOT,7169.0,12832.0
2012-03-01,TUS,PO,EXTR,HOT,9004.0,16490.0
2012-04-01,TUS,PO,EXTR,HOT,10338.0,18868.0
2012-05-01,TUS,PO,EXTR,HOT,12651.0,23949.0
2012-06-01,TUS,PO,EXTR,HOT,12183.0,21931.0
2012-07-01,TUS,PO,EXTR,HOT,15610.0,24203.0
2012-08-01,TUS,PO,EXTR,HOT,15468.0,24408.0
2012-09-01,TUS,PO,EXTR,HOT,12748.0,24050.0
2012-10-01,TUS,PO,EXTR,HOT,13263.0,22964.0
2012-11-01,TUS,PO,EXTR,HOT,7995.0,14295.0
2012-12-01,TUS,PO,EXTR,HOT,6907.0,12250.0
2013-01-01,TUS,PO,EXTR,HOT,5560.0,12867.0
2013-02-01,TUS,PO,EXTR,HOT,7558.0,14630.0
2013-03-01,TUS,PO,EXTR,HOT,10271.0,18705.0
2013-04-01,TUS,PO,EXTR,HOT,10645.0,18689.0
2013-05-01,TUS,PO,EXTR,HOT,13566.0,24671.0
2013-06-01,TUS,PO,EXTR,HOT,12817.0,21618.0
2013-07-01,TUS,PO,EXTR,HOT,14889.0,25118.0
2013-08-01,TUS,PO,EXTR,HOT,17244.0,25005.0
2013-09-01,TUS,PO,EXTR,HOT,14033.0,24342.0
2013-10-01,TUS,PO,EXTR,HOT,12850.0,19877.0
2013-11-01,TUS,PO,EXTR,HOT,9451.0,14311.0
2013-12-01,TUS,PO,EXTR,HOT,8685.0,12545.0
2014-01-01,TUS,PO,EXTR,HOT,7281.0,11203.0
2014-02-01,TUS,PO,EXTR,HOT,9157.0,13512.0
2014-03-01,TUS,PO,EXTR,HOT,11795.0,17742.0
2014-04-01,TUS,PO,EXTR,HOT,14254.0,19941.0
2014-05-01,TUS,PO,EXTR,HOT,16177.0,23340.0
2014-06-01,TUS,PO,EXTR,HOT,13471.0,20364.0
2014-07-01,TUS,PO,EXTR,HOT,18209.0,25671.0
2014-08-01,TUS,PO,EXTR,HOT,16569.0,23911.0
2014-09-01,TUS,PO,EXTR,HOT,14179.0,22796.0
2014-10-01,TUS,PO,EXTR,HOT,13401.0,20058.0
2014-11-01,TUS,PO,EXTR,HOT,9687.0,13771.0
2014-12-01,TUS,PO,EXTR,HOT,8460.0,13858.0
2015-01-01,TUS,PO,EXTR,HOT,8088.0,11351.0
2015-02-01,TUS,PO,EXTR,HOT,11721.0,15966.0
2015-03-01,TUS,PO,EXTR,HOT,14164.0,19512.0
2015-04-01,TUS,PO,EXTR,HOT,16548.0,22380.0
2015-05-01,TUS,PO,EXTR,HOT,19221.0,27500.0
2015-06-01,TUS,PO,EXTR,HOT,16897.0,24669.0
2015-07-01,TUS,PO,EXTR,HOT,20577.0,29095.0
2015-08-01,TUS,PO,EXTR,HOT,19929.0,27975.0
2015-09-01,TUS,PO,EXTR,HOT,14647.0,24087.0
2015-10-01,TUS,PO,EXTR,HOT,13811.0,21540.0
2015-11-01,TUS,PO,EXTR,HOT,9649.0,17920.0
2015-12-01,TUS,PO,EXTR,HOT,6505.0,12718.0
2016-01-01,TUS,PO,EXTR,HOT,6455.0,12862.0
2016-02-01,TUS,PO,EXTR,HOT,8038.0,13866.0
2016-03-01,TUS,PO,EXTR,HOT,11085.0,17795.0
2016-04-01,TUS,PO,EXTR,HOT,11724.0,18536.0
2016-05-01,TUS,PO,EXTR,HOT,12180.0,19660.0
2016-06-01,TUS,PO,EXTR,HOT,11692.0,19018.0
2016-07-01,TUS,PO,EXTR,HOT,15382.0,23767.0
2016-08-01,TUS,PO,EXTR,HOT,13666.0,20927.0
2016-09-01,TUS,PO,EXTR,HOT,12358.0,20416.0
2016-10-01,TUS,PO,EXTR,HOT,11687.0,18999.0
2016-11-01,TUS,PO,EXTR,HOT,9077.0,13461.0
2016-12-01,TUS,PO,EXTR,HOT,7802.0,11581.0
2017-01-01,TUS,PO,EXTR,HOT,7836.0,13076.0
2017-02-01,TUS,PO,EXTR,HOT,8702.0,13682.0
2017-03-01,TUS,PO,EXTR,HOT,11195.0,17270.0
2017-04-01,TUS,PO,EXTR,HOT,12863.0,18524.0
2017-05-01,TUS,PO,EXTR,HOT,13866.0,21655.0
2017-06-01,TUS,PO,EXTR,HOT,12312.0,20701.0
2017-07-01,TUS,PO,EXTR,HOT,14489.0,22597.0
2017-08-01,TUS,PO,EXTR,HOT,14666.0,22106.0
2017-09-01,TUS,PO,EXTR,HOT,13274.0,22383.0
2017-10-01,TUS,PO,EXTR,HOT,11595.0,19119.0
2017-11-01,TUS,PO,EXTR,HOT,10128.0,16408.0
2017-12-01,TUS,PO,EXTR,HOT,6687.0,11325.0
2018-01-01,TUS,PO,EXTR,HOT,6968.0,12214.0
