period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PO,IT,HOT,5043.0,9180.0
2009-02-01,TUS,PO,IT,HOT,5657.0,9460.0
2009-03-01,TUS,PO,IT,HOT,6203.0,10734.0
2009-04-01,TUS,PO,IT,HOT,5956.0,9869.0
2009-05-01,TUS,PO,IT,HOT,7440.0,12347.0
2009-06-01,TUS,PO,IT,HOT,5797.0,9895.0
2009-07-01,TUS,PO,IT,HOT,4858.0,9938.0
2009-08-01,TUS,PO,IT,HOT,3189.0,7182.0
2009-09-01,TUS,PO,IT,HOT,6009.0,10042.0
2009-10-01,TUS,PO,IT,HOT,6895.0,11366.0
2009-11-01,TUS,PO,IT,HOT,6871.0,12176.0
2009-12-01,TUS,PO,IT,HOT,5982.0,11979.0
2010-01-01,TUS,PO,IT,HOT,5184.0,9734.0
2010-02-01,TUS,PO,IT,HOT,4914.0,8451.0
2010-03-01,TUS,PO,IT,HOT,5961.0,12202.0
2010-04-01,TUS,PO,IT,HOT,6134.0,11471.0
2010-05-01,TUS,PO,IT,HOT,6184.0,11267.0
2010-06-01,TUS,PO,IT,HOT,5559.0,10800.0
2010-07-01,TUS,PO,IT,HOT,4419.0,8813.0
2010-08-01,TUS,PO,IT,HOT,3021.0,7112.0
2010-09-01,TUS,PO,IT,HOT,5717.0,9399.0
2010-10-01,TUS,PO,IT,HOT,6465.0,10078.0
2010-11-01,TUS,PO,IT,HOT,5630.0,9204.0
2010-12-01,TUS,PO,IT,HOT,5533.0,9829.0
2011-01-01,TUS,PO,IT,HOT,5243.0,12371.0
2011-02-01,TUS,PO,IT,HOT,5461.0,11868.0
2011-03-01,TUS,PO,IT,HOT,6152.0,12114.0
2011-04-01,TUS,PO,IT,HOT,6856.0,12280.0
2011-05-01,TUS,PO,IT,HOT,8225.0,14833.0
2011-06-01,TUS,PO,IT,HOT,6234.0,13543.0
2011-07-01,TUS,PO,IT,HOT,6575.0,13198.0
2011-08-01,TUS,PO,IT,HOT,4486.0,9679.0
2011-09-01,TUS,PO,IT,HOT,6001.0,12135.0
2011-10-01,TUS,PO,IT,HOT,7175.0,14466.0
2011-11-01,TUS,PO,IT,HOT,5747.0,10154.0
2011-12-01,TUS,PO,IT,HOT,5451.0,9726.0
2012-01-01,TUS,PO,IT,HOT,5055.0,9580.0
2012-02-01,TUS,PO,IT,HOT,4747.0,9131.0
2012-03-01,TUS,PO,IT,HOT,5991.0,10897.0
2012-04-01,TUS,PO,IT,HOT,6065.0,11403.0
2012-05-01,TUS,PO,IT,HOT,6233.0,11645.0
2012-06-01,TUS,PO,IT,HOT,5768.0,11231.0
2012-07-01,TUS,PO,IT,HOT,5078.0,10367.0
2012-08-01,TUS,PO,IT,HOT,3204.0,7277.0
2012-09-01,TUS,PO,IT,HOT,5567.0,9507.0
2012-10-01,TUS,PO,IT,HOT,5655.0,10719.0
2012-11-01,TUS,PO,IT,HOT,5725.0,10851.0
2012-12-01,TUS,PO,IT,HOT,4956.0,10189.0
2013-01-01,TUS,PO,IT,HOT,4517.0,9815.0
2013-02-01,TUS,PO,IT,HOT,4248.0,8549.0
2013-03-01,TUS,PO,IT,HOT,5358.0,10484.0
2013-04-01,TUS,PO,IT,HOT,5283.0,10249.0
2013-05-01,TUS,PO,IT,HOT,6098.0,12430.0
2013-06-01,TUS,PO,IT,HOT,5962.0,12672.0
2013-07-01,TUS,PO,IT,HOT,4901.0,11731.0
2013-08-01,TUS,PO,IT,HOT,3270.0,8759.0
