period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,PO,WLD,HOT,11523.0,23544.0
2016-02-01,TUS,PO,WLD,HOT,13645.0,22791.0
2016-03-01,TUS,PO,WLD,HOT,16906.0,27385.0
2016-04-01,TUS,PO,WLD,HOT,17803.0,28607.0
2016-05-01,TUS,PO,WLD,HOT,19609.0,33207.0
2016-06-01,TUS,PO,WLD,HOT,17687.0,30239.0
2016-07-01,TUS,PO,WLD,HOT,20496.0,33946.0
2016-08-01,TUS,PO,WLD,HOT,17682.0,30200.0
2016-09-01,TUS,PO,WLD,HOT,18944.0,32561.0
2016-10-01,TUS,PO,WLD,HOT,18955.0,31786.0
2016-11-01,TUS,PO,WLD,HOT,15360.0,23924.0
2016-12-01,TUS,PO,WLD,HOT,14105.0,21474.0
2017-01-01,TUS,PO,WLD,HOT,13331.0,22328.0
2017-02-01,TUS,PO,WLD,HOT,14061.0,22149.0
2017-03-01,TUS,PO,WLD,HOT,17081.0,26721.0
2017-04-01,TUS,PO,WLD,HOT,19360.0,28642.0
2017-05-01,TUS,PO,WLD,HOT,20669.0,32297.0
2017-06-01,TUS,PO,WLD,HOT,19999.0,32808.0
2017-07-01,TUS,PO,WLD,HOT,20229.0,32413.0
2017-08-01,TUS,PO,WLD,HOT,18275.0,29290.0
2017-09-01,TUS,PO,WLD,HOT,19463.0,32007.0
2017-10-01,TUS,PO,WLD,HOT,17857.0,28739.0
2017-11-01,TUS,PO,WLD,HOT,16643.0,26879.0
2017-12-01,TUS,PO,WLD,HOT,12995.0,21697.0
2018-01-01,TUS,PO,WLD,HOT,12374.0,21143.0
2018-02-01,TUS,PO,WLD,HOT,14478.0,23105.0
2018-03-01,TUS,PO,WLD,HOT,18082.0,29091.0
2018-04-01,TUS,PO,WLD,HOT,20537.0,31005.0
2018-05-01,TUS,PO,WLD,HOT,22590.0,34124.0
2018-06-01,TUS,PO,WLD,HOT,20771.0,33478.0
2018-07-01,TUS,PO,WLD,HOT,19538.0,32382.0
2018-08-01,TUS,PO,WLD,HOT,20182.0,31950.0
2018-09-01,TUS,PO,WLD,HOT,19907.0,32280.0
2018-10-01,TUS,PO,WLD,HOT,20280.0,31266.0
2018-11-01,TUS,PO,WLD,HOT,17582.0,27028.0
2018-12-01,TUS,PO,WLD,HOT,15328.0,23521.0
2019-01-01,TUS,PO,WLD,HOT,13697.0,22022.0
2019-02-01,TUS,PO,WLD,HOT,15561.0,23516.0
2019-03-01,TUS,PO,WLD,HOT,19472.0,30186.0
2019-04-01,TUS,PO,WLD,HOT,20228.0,31786.0
2019-05-01,TUS,PO,WLD,HOT,21281.0,34931.0
2019-06-01,TUS,PO,WLD,HOT,21055.0,33607.0
2019-07-01,TUS,PO,WLD,HOT,19879.0,33156.0
2019-08-01,TUS,PO,WLD,HOT,18667.0,29171.0
2019-09-01,TUS,PO,WLD,HOT,19612.0,33792.0
2019-10-01,TUS,PO,WLD,HOT,19207.0,31719.0
2019-11-01,TUS,PO,WLD,HOT,17537.0,28464.0
2019-12-01,TUS,PO,WLD,HOT,15118.0,23155.0
2020-01-01,TUS,PO,WLD,HOT,14420.0,23679.0
2020-02-01,TUS,PO,WLD,HOT,10498.0,17448.0
2020-03-01,TUS,PO,WLD,HOT,1742.0,3590.0
2020-04-01,TUS,PO,WLD,HOT,110.0,457.0
2020-05-01,TUS,PO,WLD,HOT,1297.0,2838.0
2020-06-01,TUS,PO,WLD,HOT,5005.0,7846.0
2020-07-01,TUS,PO,WLD,HOT,7451.0,11921.0
2020-08-01,TUS,PO,WLD,HOT,8828.0,15652.0
2020-09-01,TUS,PO,WLD,HOT,9139.0,15959.0
2020-10-01,TUS,PO,WLD,HOT,7131.0,12207.0
2020-11-01,TUS,PO,WLD,HOT,2995.0,5742.0
2020-12-01,TUS,PO,WLD,HOT,3452.0,6199.0
2021-01-01,TUS,PO,WLD,HOT,4270.0,8737.0
2021-02-01,TUS,PO,WLD,HOT,5032.0,9661.0
2021-03-01,TUS,PO,WLD,HOT,4984.0,10392.0
2021-04-01,TUS,PO,WLD,HOT,4761.0,9685.0
2021-05-01,TUS,PO,WLD,HOT,7331.0,13846.0
2021-06-01,TUS,PO,WLD,HOT,8542.0,16048.0
2021-07-01,TUS,PO,WLD,HOT,10064.0,19045.0
2021-08-01,TUS,PO,WLD,HOT,12518.0,26438.0
2021-09-01,TUS,PO,WLD,HOT,11889.0,23121.0
2021-10-01,TUS,PO,WLD,HOT,12488.0,23000.0
2021-11-01,TUS,PO,WLD,HOT,10122.0,18757.0
2021-12-01,TUS,PO,WLD,HOT,8449.0,15461.0
