period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PO,EXTR,TOT,5932.0,14957.0
2009-02-01,TUS,PO,EXTR,TOT,6912.0,16645.0
2009-03-01,TUS,PO,EXTR,TOT,9004.0,20443.0
2009-04-01,TUS,PO,EXTR,TOT,10429.0,20346.0
2009-05-01,TUS,PO,EXTR,TOT,11331.0,23038.0
2009-06-01,TUS,PO,EXTR,TOT,9454.0,24204.0
2009-07-01,TUS,PO,EXTR,TOT,9867.0,25414.0
2009-08-01,TUS,PO,EXTR,TOT,11333.0,27041.0
2009-09-01,TUS,PO,EXTR,TOT,12160.0,26615.0
2009-10-01,TUS,PO,EXTR,TOT,10299.0,20396.0
2009-11-01,TUS,PO,EXTR,TOT,7091.0,15603.0
2009-12-01,TUS,PO,EXTR,TOT,7039.0,14919.0
2010-01-01,TUS,PO,EXTR,TOT,5842.0,14750.0
2010-02-01,TUS,PO,EXTR,TOT,8115.0,15323.0
2010-03-01,TUS,PO,EXTR,TOT,8790.0,19574.0
2010-04-01,TUS,PO,EXTR,TOT,11050.0,22778.0
2010-05-01,TUS,PO,EXTR,TOT,14405.0,27485.0
2010-06-01,TUS,PO,EXTR,TOT,12579.0,24992.0
2010-07-01,TUS,PO,EXTR,TOT,11938.0,27003.0
2010-08-01,TUS,PO,EXTR,TOT,11435.0,26284.0
2010-09-01,TUS,PO,EXTR,TOT,13535.0,30143.0
2010-10-01,TUS,PO,EXTR,TOT,11761.0,24636.0
2010-11-01,TUS,PO,EXTR,TOT,8331.0,17184.0
2010-12-01,TUS,PO,EXTR,TOT,7663.0,14509.0
2011-01-01,TUS,PO,EXTR,TOT,5501.0,14608.0
2011-02-01,TUS,PO,EXTR,TOT,7641.0,16192.0
2011-03-01,TUS,PO,EXTR,TOT,9865.0,21582.0
2011-04-01,TUS,PO,EXTR,TOT,12489.0,26994.0
2011-05-01,TUS,PO,EXTR,TOT,13597.0,29232.0
2011-06-01,TUS,PO,EXTR,TOT,14228.0,32491.0
2011-07-01,TUS,PO,EXTR,TOT,15693.0,37618.0
2011-08-01,TUS,PO,EXTR,TOT,16834.0,35235.0
2011-09-01,TUS,PO,EXTR,TOT,13664.0,30245.0
2011-10-01,TUS,PO,EXTR,TOT,11822.0,25292.0
2011-11-01,TUS,PO,EXTR,TOT,8126.0,16777.0
2011-12-01,TUS,PO,EXTR,TOT,6661.0,13367.0
2012-01-01,TUS,PO,EXTR,TOT,7267.0,14027.0
2012-02-01,TUS,PO,EXTR,TOT,7400.0,15246.0
2012-03-01,TUS,PO,EXTR,TOT,9503.0,19241.0
2012-04-01,TUS,PO,EXTR,TOT,11172.0,23552.0
2012-05-01,TUS,PO,EXTR,TOT,13843.0,28927.0
2012-06-01,TUS,PO,EXTR,TOT,13723.0,27764.0
2012-07-01,TUS,PO,EXTR,TOT,17041.0,33810.0
2012-08-01,TUS,PO,EXTR,TOT,16901.0,34056.0
2012-09-01,TUS,PO,EXTR,TOT,14326.0,31345.0
2012-10-01,TUS,PO,EXTR,TOT,14183.0,28764.0
2012-11-01,TUS,PO,EXTR,TOT,8458.0,18028.0
2012-12-01,TUS,PO,EXTR,TOT,7245.0,15303.0
2013-01-01,TUS,PO,EXTR,TOT,5877.0,16491.0
2013-02-01,TUS,PO,EXTR,TOT,7916.0,18095.0
2013-03-01,TUS,PO,EXTR,TOT,10682.0,23014.0
2013-04-01,TUS,PO,EXTR,TOT,11303.0,23532.0
2013-05-01,TUS,PO,EXTR,TOT,14533.0,31870.0
2013-06-01,TUS,PO,EXTR,TOT,14217.0,27436.0
2013-07-01,TUS,PO,EXTR,TOT,16623.0,35230.0
2013-08-01,TUS,PO,EXTR,TOT,18973.0,35306.0
2013-09-01,TUS,PO,EXTR,TOT,15496.0,32950.0
2013-10-01,TUS,PO,EXTR,TOT,13719.0,25943.0
2013-11-01,TUS,PO,EXTR,TOT,9855.0,18315.0
2013-12-01,TUS,PO,EXTR,TOT,9042.0,16266.0
2014-01-01,TUS,PO,EXTR,TOT,7517.0,14561.0
