period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PO,IT,TOT,5563.0,15441.0
2009-02-01,TUS,PO,IT,TOT,6289.0,15810.0
2009-03-01,TUS,PO,IT,TOT,6892.0,18359.0
2009-04-01,TUS,PO,IT,TOT,7008.0,17735.0
2009-05-01,TUS,PO,IT,TOT,8697.0,20962.0
2009-06-01,TUS,PO,IT,TOT,6530.0,16377.0
2009-07-01,TUS,PO,IT,TOT,5782.0,17177.0
2009-08-01,TUS,PO,IT,TOT,4030.0,14151.0
2009-09-01,TUS,PO,IT,TOT,7184.0,17168.0
2009-10-01,TUS,PO,IT,TOT,8095.0,19383.0
2009-11-01,TUS,PO,IT,TOT,7878.0,19825.0
2009-12-01,TUS,PO,IT,TOT,6851.0,18865.0
2010-01-01,TUS,PO,IT,TOT,5746.0,16346.0
2010-02-01,TUS,PO,IT,TOT,5458.0,14661.0
2010-03-01,TUS,PO,IT,TOT,6620.0,19157.0
2010-04-01,TUS,PO,IT,TOT,7336.0,19644.0
2010-05-01,TUS,PO,IT,TOT,7359.0,19534.0
2010-06-01,TUS,PO,IT,TOT,6743.0,19001.0
2010-07-01,TUS,PO,IT,TOT,5473.0,16969.0
2010-08-01,TUS,PO,IT,TOT,3788.0,14074.0
2010-09-01,TUS,PO,IT,TOT,6952.0,17026.0
2010-10-01,TUS,PO,IT,TOT,7918.0,18017.0
2010-11-01,TUS,PO,IT,TOT,6387.0,16330.0
2010-12-01,TUS,PO,IT,TOT,6290.0,17234.0
2011-01-01,TUS,PO,IT,TOT,5837.0,20058.0
2011-02-01,TUS,PO,IT,TOT,6073.0,18898.0
2011-03-01,TUS,PO,IT,TOT,6875.0,20562.0
2011-04-01,TUS,PO,IT,TOT,7852.0,20959.0
2011-05-01,TUS,PO,IT,TOT,9446.0,24005.0
2011-06-01,TUS,PO,IT,TOT,7299.0,22008.0
2011-07-01,TUS,PO,IT,TOT,7885.0,21910.0
2011-08-01,TUS,PO,IT,TOT,5385.0,17981.0
2011-09-01,TUS,PO,IT,TOT,7237.0,20357.0
