period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,PO,WLD,TOT,12506.0,33653.0
2016-02-01,TUS,PO,WLD,TOT,14732.0,33243.0
2016-03-01,TUS,PO,WLD,TOT,18777.0,40920.0
2016-04-01,TUS,PO,WLD,TOT,19984.0,41388.0
2016-05-01,TUS,PO,WLD,TOT,22552.0,48305.0
2016-06-01,TUS,PO,WLD,TOT,20420.0,45444.0
2016-07-01,TUS,PO,WLD,TOT,23784.0,53352.0
2016-08-01,TUS,PO,WLD,TOT,20447.0,48155.0
2016-09-01,TUS,PO,WLD,TOT,21683.0,48113.0
2016-10-01,TUS,PO,WLD,TOT,21393.0,45543.0
2016-11-01,TUS,PO,WLD,TOT,16470.0,34577.0
2016-12-01,TUS,PO,WLD,TOT,15360.0,32219.0
2017-01-01,TUS,PO,WLD,TOT,14476.0,33704.0
2017-02-01,TUS,PO,WLD,TOT,15345.0,32627.0
2017-03-01,TUS,PO,WLD,TOT,18557.0,38926.0
2017-04-01,TUS,PO,WLD,TOT,21794.0,42249.0
2017-05-01,TUS,PO,WLD,TOT,23508.0,46675.0
2017-06-01,TUS,PO,WLD,TOT,23923.0,50234.0
2017-07-01,TUS,PO,WLD,TOT,24124.0,54330.0
2017-08-01,TUS,PO,WLD,TOT,21347.0,49819.0
2017-09-01,TUS,PO,WLD,TOT,22735.0,49648.0
2017-10-01,TUS,PO,WLD,TOT,20734.0,44674.0
2017-11-01,TUS,PO,WLD,TOT,18384.0,39985.0
2017-12-01,TUS,PO,WLD,TOT,14816.0,34244.0
2018-01-01,TUS,PO,WLD,TOT,14020.0,32582.0
2018-02-01,TUS,PO,WLD,TOT,16138.0,33494.0
2018-03-01,TUS,PO,WLD,TOT,20153.0,41978.0
2018-04-01,TUS,PO,WLD,TOT,23046.0,45467.0
2018-05-01,TUS,PO,WLD,TOT,25993.0,49854.0
2018-06-01,TUS,PO,WLD,TOT,24961.0,52735.0
2018-07-01,TUS,PO,WLD,TOT,23537.0,53302.0
2018-08-01,TUS,PO,WLD,TOT,23839.0,52282.0
2018-09-01,TUS,PO,WLD,TOT,23619.0,50141.0
2018-10-01,TUS,PO,WLD,TOT,23206.0,47294.0
2018-11-01,TUS,PO,WLD,TOT,19497.0,40641.0
2018-12-01,TUS,PO,WLD,TOT,17204.0,35957.0
2019-01-01,TUS,PO,WLD,TOT,15536.0,34955.0
2019-02-01,TUS,PO,WLD,TOT,17101.0,34180.0
2019-03-01,TUS,PO,WLD,TOT,21568.0,42961.0
2019-04-01,TUS,PO,WLD,TOT,23185.0,47347.0
2019-05-01,TUS,PO,WLD,TOT,24794.0,50756.0
2019-06-01,TUS,PO,WLD,TOT,25090.0,51404.0
2019-07-01,TUS,PO,WLD,TOT,23907.0,54078.0
2019-08-01,TUS,PO,WLD,TOT,22614.0,50187.0
2019-09-01,TUS,PO,WLD,TOT,23267.0,51967.0
2019-10-01,TUS,PO,WLD,TOT,22704.0,48765.0
2019-11-01,TUS,PO,WLD,TOT,19915.0,42874.0
2019-12-01,TUS,PO,WLD,TOT,17052.0,36108.0
2020-01-01,TUS,PO,WLD,TOT,16496.0,33656.0
2020-02-01,TUS,PO,WLD,TOT,12051.0,25306.0
2020-03-01,TUS,PO,WLD,TOT,2125.0,9172.0
2020-04-01,TUS,PO,WLD,TOT,218.0,4313.0
2020-05-01,TUS,PO,WLD,TOT,1775.0,7776.0
2020-06-01,TUS,PO,WLD,TOT,6186.0,13912.0
2020-07-01,TUS,PO,WLD,TOT,9357.0,20140.0
2020-08-01,TUS,PO,WLD,TOT,11854.0,28918.0
2020-09-01,TUS,PO,WLD,TOT,11089.0,25242.0
2020-10-01,TUS,PO,WLD,TOT,8536.0,20391.0
2020-11-01,TUS,PO,WLD,TOT,3663.0,11559.0
2020-12-01,TUS,PO,WLD,TOT,4034.0,11618.0
2021-01-01,TUS,PO,WLD,TOT,4847.0,14092.0
2021-02-01,TUS,PO,WLD,TOT,5735.0,15278.0
2021-03-01,TUS,PO,WLD,TOT,5836.0,17011.0
2021-04-01,TUS,PO,WLD,TOT,5485.0,15846.0
2021-05-01,TUS,PO,WLD,TOT,8504.0,20836.0
2021-06-01,TUS,PO,WLD,TOT,10475.0,24708.0
2021-07-01,TUS,PO,WLD,TOT,13439.0,32684.0
2021-08-01,TUS,PO,WLD,TOT,16452.0,43410.0
2021-09-01,TUS,PO,WLD,TOT,14674.0,33315.0
2021-10-01,TUS,PO,WLD,TOT,15137.0,32793.0
2021-11-01,TUS,PO,WLD,TOT,11752.0,26170.0
2021-12-01,TUS,PO,WLD,TOT,9803.0,22372.0
