period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PT,EXTR,EXTRHOT,207.0,1384.0
2009-02-01,TUS,PT,EXTR,EXTRHOT,143.0,692.0
2009-03-01,TUS,PT,EXTR,EXTRHOT,197.0,911.0
2009-04-01,TUS,PT,EXTR,EXTRHOT,1825.0,8421.0
2009-05-01,TUS,PT,EXTR,EXTRHOT,2944.0,17233.0
2009-06-01,TUS,PT,EXTR,EXTRHOT,3718.0,24685.0
2009-07-01,TUS,PT,EXTR,EXTRHOT,9178.0,70067.0
2009-08-01,TUS,PT,EXTR,EXTRHOT,8119.0,66823.0
2009-09-01,TUS,PT,EXTR,EXTRHOT,2626.0,19307.0
2009-10-01,TUS,PT,EXTR,EXTRHOT,1008.0,7415.0
2009-11-01,TUS,PT,EXTR,EXTRHOT,235.0,2907.0
2009-12-01,TUS,PT,EXTR,EXTRHOT,168.0,2597.0
2010-01-01,TUS,PT,EXTR,EXTRHOT,344.0,1758.0
2010-02-01,TUS,PT,EXTR,EXTRHOT,317.0,1647.0
2010-03-01,TUS,PT,EXTR,EXTRHOT,283.0,1092.0
2010-04-01,TUS,PT,EXTR,EXTRHOT,1217.0,4780.0
2010-05-01,TUS,PT,EXTR,EXTRHOT,3706.0,21547.0
2010-06-01,TUS,PT,EXTR,EXTRHOT,3411.0,21355.0
2010-07-01,TUS,PT,EXTR,EXTRHOT,10490.0,72313.0
2010-08-01,TUS,PT,EXTR,EXTRHOT,8253.0,70000.0
2010-09-01,TUS,PT,EXTR,EXTRHOT,3010.0,21111.0
2010-10-01,TUS,PT,EXTR,EXTRHOT,1191.0,6177.0
2010-11-01,TUS,PT,EXTR,EXTRHOT,326.0,1456.0
2010-12-01,TUS,PT,EXTR,EXTRHOT,200.0,1091.0
2011-01-01,TUS,PT,EXTR,EXTRHOT,487.0,2323.0
2011-02-01,TUS,PT,EXTR,EXTRHOT,355.0,2569.0
2011-03-01,TUS,PT,EXTR,EXTRHOT,384.0,2805.0
2011-04-01,TUS,PT,EXTR,EXTRHOT,2238.0,10750.0
2011-05-01,TUS,PT,EXTR,EXTRHOT,2681.0,16772.0
