period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PT,IT,EXTRHOT,1841.0,8520.0
2009-02-01,TUS,PT,IT,EXTRHOT,2096.0,7498.0
2009-03-01,TUS,PT,IT,EXTRHOT,1909.0,6203.0
2009-04-01,TUS,PT,IT,EXTRHOT,2579.0,7796.0
2009-05-01,TUS,PT,IT,EXTRHOT,2632.0,7592.0
2009-06-01,TUS,PT,IT,EXTRHOT,2586.0,8853.0
2009-07-01,TUS,PT,IT,EXTRHOT,3392.0,17300.0
2009-08-01,TUS,PT,IT,EXTRHOT,3972.0,24563.0
2009-09-01,TUS,PT,IT,EXTRHOT,1730.0,7113.0
2009-10-01,TUS,PT,IT,EXTRHOT,1555.0,5813.0
2009-11-01,TUS,PT,IT,EXTRHOT,894.0,5206.0
2009-12-01,TUS,PT,IT,EXTRHOT,2557.0,8958.0
2010-01-01,TUS,PT,IT,EXTRHOT,1611.0,8391.0
2010-02-01,TUS,PT,IT,EXTRHOT,1815.0,6855.0
2010-03-01,TUS,PT,IT,EXTRHOT,1705.0,5460.0
2010-04-01,TUS,PT,IT,EXTRHOT,2557.0,7572.0
2010-05-01,TUS,PT,IT,EXTRHOT,1823.0,5250.0
2010-06-01,TUS,PT,IT,EXTRHOT,2181.0,7685.0
2010-07-01,TUS,PT,IT,EXTRHOT,3773.0,16551.0
2010-08-01,TUS,PT,IT,EXTRHOT,4050.0,22140.0
2010-09-01,TUS,PT,IT,EXTRHOT,1930.0,7285.0
2010-10-01,TUS,PT,IT,EXTRHOT,1727.0,5335.0
2010-11-01,TUS,PT,IT,EXTRHOT,869.0,3750.0
2010-12-01,TUS,PT,IT,EXTRHOT,2120.0,7082.0
2011-01-01,TUS,PT,IT,EXTRHOT,1927.0,7911.0
2011-02-01,TUS,PT,IT,EXTRHOT,1352.0,5520.0
2011-03-01,TUS,PT,IT,EXTRHOT,1849.0,6518.0
2011-04-01,TUS,PT,IT,EXTRHOT,2977.0,8812.0
2011-05-01,TUS,PT,IT,EXTRHOT,2191.0,6681.0
2011-06-01,TUS,PT,IT,EXTRHOT,2885.0,10297.0
2011-07-01,TUS,PT,IT,EXTRHOT,3915.0,19240.0
2011-08-01,TUS,PT,IT,EXTRHOT,4202.0,22578.0
2011-09-01,TUS,PT,IT,EXTRHOT,2342.0,8385.0
