period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,PT,WLD,EXTRHOT,2186.0,7825.0
2016-02-01,TUS,PT,WLD,EXTRHOT,2470.0,7330.0
2016-03-01,TUS,PT,WLD,EXTRHOT,4036.0,10544.0
2016-04-01,TUS,PT,WLD,EXTRHOT,5188.0,16764.0
2016-05-01,TUS,PT,WLD,EXTRHOT,7174.0,29712.0
2016-06-01,TUS,PT,WLD,EXTRHOT,8330.0,39208.0
2016-07-01,TUS,PT,WLD,EXTRHOT,16070.0,85625.0
2016-08-01,TUS,PT,WLD,EXTRHOT,15237.0,99285.0
2016-09-01,TUS,PT,WLD,EXTRHOT,7473.0,33573.0
2016-10-01,TUS,PT,WLD,EXTRHOT,4660.0,13721.0
2016-11-01,TUS,PT,WLD,EXTRHOT,1903.0,5477.0
2016-12-01,TUS,PT,WLD,EXTRHOT,2921.0,7476.0
2017-01-01,TUS,PT,WLD,EXTRHOT,2212.0,7614.0
2017-02-01,TUS,PT,WLD,EXTRHOT,2738.0,7777.0
2017-03-01,TUS,PT,WLD,EXTRHOT,3322.0,10201.0
2017-04-01,TUS,PT,WLD,EXTRHOT,8534.0,27231.0
2017-05-01,TUS,PT,WLD,EXTRHOT,6198.0,22958.0
2017-06-01,TUS,PT,WLD,EXTRHOT,11073.0,44181.0
2017-07-01,TUS,PT,WLD,EXTRHOT,16003.0,87632.0
2017-08-01,TUS,PT,WLD,EXTRHOT,15304.0,95598.0
2017-09-01,TUS,PT,WLD,EXTRHOT,9223.0,36365.0
2017-10-01,TUS,PT,WLD,EXTRHOT,5043.0,14318.0
2017-11-01,TUS,PT,WLD,EXTRHOT,3249.0,9411.0
2017-12-01,TUS,PT,WLD,EXTRHOT,3892.0,9665.0
2018-01-01,TUS,PT,WLD,EXTRHOT,3106.0,10376.0
2018-02-01,TUS,PT,WLD,EXTRHOT,3069.0,9346.0
2018-03-01,TUS,PT,WLD,EXTRHOT,4256.0,12121.0
2018-04-01,TUS,PT,WLD,EXTRHOT,6686.0,21438.0
2018-05-01,TUS,PT,WLD,EXTRHOT,8268.0,33901.0
2018-06-01,TUS,PT,WLD,EXTRHOT,10659.0,40873.0
2018-07-01,TUS,PT,WLD,EXTRHOT,16451.0,88888.0
2018-08-01,TUS,PT,WLD,EXTRHOT,14409.0,93085.0
2018-09-01,TUS,PT,WLD,EXTRHOT,8295.0,34760.0
2018-10-01,TUS,PT,WLD,EXTRHOT,4956.0,14344.0
2018-11-01,TUS,PT,WLD,EXTRHOT,3663.0,10108.0
2018-12-01,TUS,PT,WLD,EXTRHOT,3356.0,9994.0
2019-01-01,TUS,PT,WLD,EXTRHOT,2522.0,9188.0
2019-02-01,TUS,PT,WLD,EXTRHOT,2980.0,9440.0
2019-03-01,TUS,PT,WLD,EXTRHOT,3564.0,9533.0
2019-04-01,TUS,PT,WLD,EXTRHOT,7896.0,27204.0
2019-05-01,TUS,PT,WLD,EXTRHOT,7112.0,23811.0
2019-06-01,TUS,PT,WLD,EXTRHOT,11262.0,46126.0
2019-07-01,TUS,PT,WLD,EXTRHOT,14883.0,81441.0
2019-08-01,TUS,PT,WLD,EXTRHOT,14187.0,87772.0
2019-09-01,TUS,PT,WLD,EXTRHOT,8662.0,33685.0
2019-10-01,TUS,PT,WLD,EXTRHOT,4876.0,16113.0
2019-11-01,TUS,PT,WLD,EXTRHOT,3425.0,10035.0
2019-12-01,TUS,PT,WLD,EXTRHOT,3593.0,10497.0
2020-01-01,TUS,PT,WLD,EXTRHOT,2994.0,11275.0
2020-02-01,TUS,PT,WLD,EXTRHOT,3138.0,9971.0
2020-03-01,TUS,PT,WLD,EXTRHOT,471.0,4486.0
2020-04-01,TUS,PT,WLD,EXTRHOT,74.0,2776.0
2020-05-01,TUS,PT,WLD,EXTRHOT,344.0,2566.0
2020-06-01,TUS,PT,WLD,EXTRHOT,2560.0,8733.0
2020-07-01,TUS,PT,WLD,EXTRHOT,8139.0,35474.0
2020-08-01,TUS,PT,WLD,EXTRHOT,14382.0,66553.0
2020-09-01,TUS,PT,WLD,EXTRHOT,7668.0,29608.0
2020-10-01,TUS,PT,WLD,EXTRHOT,2910.0,9967.0
2020-11-01,TUS,PT,WLD,EXTRHOT,681.0,5071.0
2020-12-01,TUS,PT,WLD,EXTRHOT,758.0,4974.0
2021-01-01,TUS,PT,WLD,EXTRHOT,1063.0,5055.0
2021-02-01,TUS,PT,WLD,EXTRHOT,1286.0,4988.0
2021-03-01,TUS,PT,WLD,EXTRHOT,847.0,5618.0
2021-04-01,TUS,PT,WLD,EXTRHOT,878.0,6000.0
2021-05-01,TUS,PT,WLD,EXTRHOT,3078.0,11018.0
2021-06-01,TUS,PT,WLD,EXTRHOT,6247.0,22075.0
2021-07-01,TUS,PT,WLD,EXTRHOT,15370.0,71190.0
2021-08-01,TUS,PT,WLD,EXTRHOT,19652.0,105525.0
2021-09-01,TUS,PT,WLD,EXTRHOT,9492.0,41517.0
2021-10-01,TUS,PT,WLD,EXTRHOT,6007.0,19164.0
2021-11-01,TUS,PT,WLD,EXTRHOT,2678.0,10321.0
2021-12-01,TUS,PT,WLD,EXTRHOT,3491.0,11015.0
