period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PT,EXTR,HOT,10644.0,20573.0
2009-02-01,TUS,PT,EXTR,HOT,11889.0,27874.0
2009-03-01,TUS,PT,EXTR,HOT,32858.0,73389.0
2009-04-01,TUS,PT,EXTR,HOT,59576.0,146962.0
2009-05-01,TUS,PT,EXTR,HOT,55203.0,156206.0
2009-06-01,TUS,PT,EXTR,HOT,52585.0,138858.0
2009-07-01,TUS,PT,EXTR,HOT,45918.0,143315.0
2009-08-01,TUS,PT,EXTR,HOT,36306.0,121912.0
2009-09-01,TUS,PT,EXTR,HOT,52431.0,153880.0
2009-10-01,TUS,PT,EXTR,HOT,44415.0,126926.0
2009-11-01,TUS,PT,EXTR,HOT,8825.0,27434.0
2009-12-01,TUS,PT,EXTR,HOT,5910.0,15330.0
2010-01-01,TUS,PT,EXTR,HOT,5758.0,16680.0
2010-02-01,TUS,PT,EXTR,HOT,9568.0,21166.0
2010-03-01,TUS,PT,EXTR,HOT,34233.0,79946.0
2010-04-01,TUS,PT,EXTR,HOT,52154.0,131811.0
2010-05-01,TUS,PT,EXTR,HOT,60343.0,158502.0
2010-06-01,TUS,PT,EXTR,HOT,60874.0,158674.0
2010-07-01,TUS,PT,EXTR,HOT,54459.0,156355.0
2010-08-01,TUS,PT,EXTR,HOT,43572.0,131153.0
2010-09-01,TUS,PT,EXTR,HOT,64690.0,179489.0
2010-10-01,TUS,PT,EXTR,HOT,49294.0,150063.0
2010-11-01,TUS,PT,EXTR,HOT,13631.0,36873.0
2010-12-01,TUS,PT,EXTR,HOT,6579.0,16094.0
2011-01-01,TUS,PT,EXTR,HOT,6208.0,15072.0
2011-02-01,TUS,PT,EXTR,HOT,10007.0,22886.0
2011-03-01,TUS,PT,EXTR,HOT,29126.0,66796.0
2011-04-01,TUS,PT,EXTR,HOT,64324.0,163970.0
2011-05-01,TUS,PT,EXTR,HOT,65004.0,167926.0
2011-06-01,TUS,PT,EXTR,HOT,66363.0,165953.0
2011-07-01,TUS,PT,EXTR,HOT,67355.0,186098.0
2011-08-01,TUS,PT,EXTR,HOT,52586.0,163690.0
2011-09-01,TUS,PT,EXTR,HOT,64646.0,182231.0
2011-10-01,TUS,PT,EXTR,HOT,52129.0,160968.0
2011-11-01,TUS,PT,EXTR,HOT,16184.0,43686.0
2011-12-01,TUS,PT,EXTR,HOT,7326.0,18350.0
2012-01-01,TUS,PT,EXTR,HOT,8183.0,16865.0
2012-02-01,TUS,PT,EXTR,HOT,9169.0,21734.0
2012-03-01,TUS,PT,EXTR,HOT,38768.0,91362.0
2012-04-01,TUS,PT,EXTR,HOT,57400.0,149173.0
2012-05-01,TUS,PT,EXTR,HOT,61977.0,173778.0
2012-06-01,TUS,PT,EXTR,HOT,64340.0,161986.0
2012-07-01,TUS,PT,EXTR,HOT,64890.0,178349.0
2012-08-01,TUS,PT,EXTR,HOT,48742.0,149776.0
2012-09-01,TUS,PT,EXTR,HOT,61182.0,162189.0
2012-10-01,TUS,PT,EXTR,HOT,47849.0,141838.0
2012-11-01,TUS,PT,EXTR,HOT,14074.0,35074.0
2012-12-01,TUS,PT,EXTR,HOT,7552.0,15231.0
2013-01-01,TUS,PT,EXTR,HOT,7340.0,15335.0
2013-02-01,TUS,PT,EXTR,HOT,11769.0,22686.0
2013-03-01,TUS,PT,EXTR,HOT,39525.0,95235.0
2013-04-01,TUS,PT,EXTR,HOT,57995.0,147477.0
2013-05-01,TUS,PT,EXTR,HOT,62938.0,177879.0
2013-06-01,TUS,PT,EXTR,HOT,62511.0,158676.0
2013-07-01,TUS,PT,EXTR,HOT,64131.0,171896.0
2013-08-01,TUS,PT,EXTR,HOT,51426.0,141184.0
2013-09-01,TUS,PT,EXTR,HOT,59193.0,162159.0
2013-10-01,TUS,PT,EXTR,HOT,50863.0,144705.0
2013-11-01,TUS,PT,EXTR,HOT,13628.0,30678.0
2013-12-01,TUS,PT,EXTR,HOT,8577.0,16652.0
2014-01-01,TUS,PT,EXTR,HOT,8045.0,17917.0
2014-02-01,TUS,PT,EXTR,HOT,9242.0,18449.0
2014-03-01,TUS,PT,EXTR,HOT,28320.0,62763.0
2014-04-01,TUS,PT,EXTR,HOT,64689.0,156717.0
2014-05-01,TUS,PT,EXTR,HOT,62411.0,177958.0
2014-06-01,TUS,PT,EXTR,HOT,62118.0,161753.0
2014-07-01,TUS,PT,EXTR,HOT,61135.0,160228.0
2014-08-01,TUS,PT,EXTR,HOT,51719.0,139491.0
2014-09-01,TUS,PT,EXTR,HOT,61329.0,174524.0
2014-10-01,TUS,PT,EXTR,HOT,44627.0,126761.0
2014-11-01,TUS,PT,EXTR,HOT,12666.0,29124.0
2014-12-01,TUS,PT,EXTR,HOT,8231.0,16984.0
2015-01-01,TUS,PT,EXTR,HOT,8445.0,17946.0
2015-02-01,TUS,PT,EXTR,HOT,10805.0,22057.0
2015-03-01,TUS,PT,EXTR,HOT,32207.0,74210.0
2015-04-01,TUS,PT,EXTR,HOT,53219.0,127080.0
2015-05-01,TUS,PT,EXTR,HOT,60501.0,165673.0
2015-06-01,TUS,PT,EXTR,HOT,62798.0,163350.0
2015-07-01,TUS,PT,EXTR,HOT,60972.0,154209.0
2015-08-01,TUS,PT,EXTR,HOT,52687.0,140702.0
2015-09-01,TUS,PT,EXTR,HOT,57383.0,163913.0
2015-10-01,TUS,PT,EXTR,HOT,43774.0,122563.0
2015-11-01,TUS,PT,EXTR,HOT,16406.0,41048.0
2015-12-01,TUS,PT,EXTR,HOT,7898.0,16210.0
2016-01-01,TUS,PT,EXTR,HOT,8176.0,20844.0
2016-02-01,TUS,PT,EXTR,HOT,11259.0,24448.0
2016-03-01,TUS,PT,EXTR,HOT,39080.0,89282.0
2016-04-01,TUS,PT,EXTR,HOT,48682.0,116582.0
2016-05-01,TUS,PT,EXTR,HOT,60392.0,167634.0
2016-06-01,TUS,PT,EXTR,HOT,60085.0,154427.0
2016-07-01,TUS,PT,EXTR,HOT,56267.0,157548.0
2016-08-01,TUS,PT,EXTR,HOT,47560.0,142800.0
2016-09-01,TUS,PT,EXTR,HOT,56706.0,165898.0
2016-10-01,TUS,PT,EXTR,HOT,46104.0,125509.0
2016-11-01,TUS,PT,EXTR,HOT,15039.0,38706.0
2016-12-01,TUS,PT,EXTR,HOT,7901.0,18569.0
2017-01-01,TUS,PT,EXTR,HOT,8629.0,21778.0
2017-02-01,TUS,PT,EXTR,HOT,12068.0,27946.0
2017-03-01,TUS,PT,EXTR,HOT,28548.0,66882.0
2017-04-01,TUS,PT,EXTR,HOT,61045.0,141971.0
2017-05-01,TUS,PT,EXTR,HOT,60394.0,160914.0
2017-06-01,TUS,PT,EXTR,HOT,64926.0,162370.0
2017-07-01,TUS,PT,EXTR,HOT,55291.0,175088.0
2017-08-01,TUS,PT,EXTR,HOT,50388.0,142325.0
2017-09-01,TUS,PT,EXTR,HOT,59835.0,169711.0
2017-10-01,TUS,PT,EXTR,HOT,50516.0,138579.0
2017-11-01,TUS,PT,EXTR,HOT,18404.0,47577.0
2017-12-01,TUS,PT,EXTR,HOT,9842.0,22954.0
2018-01-01,TUS,PT,EXTR,HOT,10337.0,22609.0
2018-02-01,TUS,PT,EXTR,HOT,13265.0,27124.0
2018-03-01,TUS,PT,EXTR,HOT,40175.0,92257.0
2018-04-01,TUS,PT,EXTR,HOT,60772.0,142460.0
2018-05-01,TUS,PT,EXTR,HOT,66981.0,181820.0
2018-06-01,TUS,PT,EXTR,HOT,63463.0,158527.0
2018-07-01,TUS,PT,EXTR,HOT,60866.0,164006.0
2018-08-01,TUS,PT,EXTR,HOT,51289.0,140103.0
2018-09-01,TUS,PT,EXTR,HOT,63956.0,174155.0
2018-10-01,TUS,PT,EXTR,HOT,53509.0,146132.0
2018-11-01,TUS,PT,EXTR,HOT,16539.0,40885.0
2018-12-01,TUS,PT,EXTR,HOT,10517.0,23830.0
2019-01-01,TUS,PT,EXTR,HOT,10370.0,23687.0
2019-02-01,TUS,PT,EXTR,HOT,13353.0,28887.0
2019-03-01,TUS,PT,EXTR,HOT,32838.0,74727.0
2019-04-01,TUS,PT,EXTR,HOT,66798.0,155724.0
2019-05-01,TUS,PT,EXTR,HOT,61901.0,161880.0
2019-06-01,TUS,PT,EXTR,HOT,64042.0,151352.0
2019-07-01,TUS,PT,EXTR,HOT,60452.0,153351.0
2019-08-01,TUS,PT,EXTR,HOT,49151.0,130178.0
2019-09-01,TUS,PT,EXTR,HOT,61606.0,169916.0
2019-10-01,TUS,PT,EXTR,HOT,56391.0,149378.0
2019-11-01,TUS,PT,EXTR,HOT,18347.0,46527.0
2019-12-01,TUS,PT,EXTR,HOT,11518.0,25589.0
2020-01-01,TUS,PT,EXTR,HOT,13119.0,27909.0
2020-02-01,TUS,PT,EXTR,HOT,10013.0,24274.0
2020-03-01,TUS,PT,EXTR,HOT,544.0,2907.0
2020-04-01,TUS,PT,EXTR,HOT,14.0,314.0
2020-05-01,TUS,PT,EXTR,HOT,109.0,751.0
2020-06-01,TUS,PT,EXTR,HOT,630.0,2074.0
2020-07-01,TUS,PT,EXTR,HOT,2597.0,8325.0
2020-08-01,TUS,PT,EXTR,HOT,5952.0,18646.0
2020-09-01,TUS,PT,EXTR,HOT,4489.0,14313.0
2020-10-01,TUS,PT,EXTR,HOT,1972.0,7448.0
2020-11-01,TUS,PT,EXTR,HOT,354.0,1764.0
2020-12-01,TUS,PT,EXTR,HOT,265.0,786.0
2021-01-01,TUS,PT,EXTR,HOT,471.0,1167.0
2021-02-01,TUS,PT,EXTR,HOT,643.0,1651.0
2021-03-01,TUS,PT,EXTR,HOT,744.0,1721.0
2021-04-01,TUS,PT,EXTR,HOT,323.0,989.0
2021-05-01,TUS,PT,EXTR,HOT,1151.0,2632.0
2021-06-01,TUS,PT,EXTR,HOT,2774.0,8592.0
2021-07-01,TUS,PT,EXTR,HOT,10897.0,33518.0
2021-08-01,TUS,PT,EXTR,HOT,19301.0,68656.0
2021-09-01,TUS,PT,EXTR,HOT,16164.0,51368.0
2021-10-01,TUS,PT,EXTR,HOT,13108.0,41976.0
2021-11-01,TUS,PT,EXTR,HOT,4250.0,15040.0
2021-12-01,TUS,PT,EXTR,HOT,2293.0,7202.0
