period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PT,IT,HOT,20745.0,55866.0
2009-02-01,TUS,PT,IT,HOT,23102.0,50422.0
2009-03-01,TUS,PT,IT,HOT,34344.0,79342.0
2009-04-01,TUS,PT,IT,HOT,44181.0,110561.0
2009-05-01,TUS,PT,IT,HOT,34705.0,81341.0
2009-06-01,TUS,PT,IT,HOT,22821.0,65704.0
2009-07-01,TUS,PT,IT,HOT,22619.0,84100.0
2009-08-01,TUS,PT,IT,HOT,28269.0,116279.0
2009-09-01,TUS,PT,IT,HOT,24934.0,95620.0
2009-10-01,TUS,PT,IT,HOT,24099.0,66606.0
2009-11-01,TUS,PT,IT,HOT,16198.0,32818.0
2009-12-01,TUS,PT,IT,HOT,23540.0,49212.0
2010-01-01,TUS,PT,IT,HOT,20235.0,53851.0
2010-02-01,TUS,PT,IT,HOT,21516.0,45748.0
2010-03-01,TUS,PT,IT,HOT,30833.0,71122.0
2010-04-01,TUS,PT,IT,HOT,45706.0,113314.0
2010-05-01,TUS,PT,IT,HOT,30849.0,72153.0
2010-06-01,TUS,PT,IT,HOT,22792.0,65103.0
2010-07-01,TUS,PT,IT,HOT,23298.0,80012.0
2010-08-01,TUS,PT,IT,HOT,25778.0,103961.0
2010-09-01,TUS,PT,IT,HOT,24585.0,93260.0
2010-10-01,TUS,PT,IT,HOT,26546.0,67555.0
2010-11-01,TUS,PT,IT,HOT,15795.0,33102.0
2010-12-01,TUS,PT,IT,HOT,24632.0,52158.0
2011-01-01,TUS,PT,IT,HOT,20935.0,53705.0
2011-02-01,TUS,PT,IT,HOT,23345.0,48862.0
2011-03-01,TUS,PT,IT,HOT,35494.0,78399.0
2011-04-01,TUS,PT,IT,HOT,41395.0,100726.0
2011-05-01,TUS,PT,IT,HOT,30591.0,75379.0
2011-06-01,TUS,PT,IT,HOT,30295.0,79062.0
2011-07-01,TUS,PT,IT,HOT,24838.0,84689.0
2011-08-01,TUS,PT,IT,HOT,28467.0,118384.0
2011-09-01,TUS,PT,IT,HOT,25696.0,100180.0
2011-10-01,TUS,PT,IT,HOT,27175.0,76351.0
2011-11-01,TUS,PT,IT,HOT,16238.0,35872.0
2011-12-01,TUS,PT,IT,HOT,22405.0,47915.0
2012-01-01,TUS,PT,IT,HOT,19554.0,42655.0
2012-02-01,TUS,PT,IT,HOT,20775.0,42652.0
2012-03-01,TUS,PT,IT,HOT,38718.0,83482.0
2012-04-01,TUS,PT,IT,HOT,44220.0,103516.0
2012-05-01,TUS,PT,IT,HOT,32589.0,68324.0
2012-06-01,TUS,PT,IT,HOT,26253.0,62292.0
2012-07-01,TUS,PT,IT,HOT,21651.0,59465.0
2012-08-01,TUS,PT,IT,HOT,28109.0,101101.0
2012-09-01,TUS,PT,IT,HOT,25323.0,86633.0
