period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,PT,WLD,HOT,28202.0,63421.0
2016-02-01,TUS,PT,WLD,HOT,32524.0,61164.0
2016-03-01,TUS,PT,WLD,HOT,68456.0,145461.0
2016-04-01,TUS,PT,WLD,HOT,79623.0,172932.0
2016-05-01,TUS,PT,WLD,HOT,82715.0,207123.0
2016-06-01,TUS,PT,WLD,HOT,88215.0,212897.0
2016-07-01,TUS,PT,WLD,HOT,80643.0,220684.0
2016-08-01,TUS,PT,WLD,HOT,76543.0,230068.0
2016-09-01,TUS,PT,WLD,HOT,79965.0,230813.0
2016-10-01,TUS,PT,WLD,HOT,78577.0,191738.0
2016-11-01,TUS,PT,WLD,HOT,35206.0,73166.0
2016-12-01,TUS,PT,WLD,HOT,39699.0,75890.0
2017-01-01,TUS,PT,WLD,HOT,27480.0,60524.0
2017-02-01,TUS,PT,WLD,HOT,32498.0,65754.0
2017-03-01,TUS,PT,WLD,HOT,55228.0,118807.0
2017-04-01,TUS,PT,WLD,HOT,98228.0,217853.0
2017-05-01,TUS,PT,WLD,HOT,86746.0,213062.0
2017-06-01,TUS,PT,WLD,HOT,92115.0,218746.0
2017-07-01,TUS,PT,WLD,HOT,78291.0,232859.0
2017-08-01,TUS,PT,WLD,HOT,79647.0,232134.0
2017-09-01,TUS,PT,WLD,HOT,84120.0,234021.0
2017-10-01,TUS,PT,WLD,HOT,73479.0,185094.0
2017-11-01,TUS,PT,WLD,HOT,45772.0,96913.0
2017-12-01,TUS,PT,WLD,HOT,42762.0,83385.0
2018-01-01,TUS,PT,WLD,HOT,31005.0,64850.0
2018-02-01,TUS,PT,WLD,HOT,36562.0,69913.0
2018-03-01,TUS,PT,WLD,HOT,73703.0,155618.0
2018-04-01,TUS,PT,WLD,HOT,97774.0,220214.0
2018-05-01,TUS,PT,WLD,HOT,97445.0,243151.0
2018-06-01,TUS,PT,WLD,HOT,91603.0,222343.0
2018-07-01,TUS,PT,WLD,HOT,87097.0,229284.0
2018-08-01,TUS,PT,WLD,HOT,79644.0,223159.0
2018-09-01,TUS,PT,WLD,HOT,86096.0,234914.0
2018-10-01,TUS,PT,WLD,HOT,77945.0,194401.0
2018-11-01,TUS,PT,WLD,HOT,43567.0,94506.0
2018-12-01,TUS,PT,WLD,HOT,35708.0,72215.0
2019-01-01,TUS,PT,WLD,HOT,29220.0,60701.0
2019-02-01,TUS,PT,WLD,HOT,36355.0,71491.0
2019-03-01,TUS,PT,WLD,HOT,62777.0,133998.0
2019-04-01,TUS,PT,WLD,HOT,101793.0,231635.0
2019-05-01,TUS,PT,WLD,HOT,90555.0,220456.0
2019-06-01,TUS,PT,WLD,HOT,89552.0,199895.0
2019-07-01,TUS,PT,WLD,HOT,83959.0,211064.0
2019-08-01,TUS,PT,WLD,HOT,78773.0,215484.0
2019-09-01,TUS,PT,WLD,HOT,83275.0,226959.0
2019-10-01,TUS,PT,WLD,HOT,81973.0,199091.0
2019-11-01,TUS,PT,WLD,HOT,43649.0,95926.0
2019-12-01,TUS,PT,WLD,HOT,36886.0,73119.0
2020-01-01,TUS,PT,WLD,HOT,33572.0,72340.0
2020-02-01,TUS,PT,WLD,HOT,30099.0,64470.0
2020-03-01,TUS,PT,WLD,HOT,4040.0,12576.0
2020-04-01,TUS,PT,WLD,HOT,209.0,3180.0
2020-05-01,TUS,PT,WLD,HOT,2803.0,10165.0
2020-06-01,TUS,PT,WLD,HOT,9564.0,21336.0
2020-07-01,TUS,PT,WLD,HOT,19628.0,47570.0
2020-08-01,TUS,PT,WLD,HOT,40274.0,111250.0
2020-09-01,TUS,PT,WLD,HOT,22919.0,54965.0
2020-10-01,TUS,PT,WLD,HOT,15159.0,35411.0
2020-11-01,TUS,PT,WLD,HOT,5286.0,16057.0
2020-12-01,TUS,PT,WLD,HOT,4377.0,12127.0
2021-01-01,TUS,PT,WLD,HOT,8404.0,17089.0
2021-02-01,TUS,PT,WLD,HOT,9989.0,20899.0
2021-03-01,TUS,PT,WLD,HOT,7083.0,18526.0
2021-04-01,TUS,PT,WLD,HOT,6183.0,13657.0
2021-05-01,TUS,PT,WLD,HOT,12725.0,25031.0
2021-06-01,TUS,PT,WLD,HOT,18281.0,39703.0
2021-07-01,TUS,PT,WLD,HOT,35021.0,86489.0
2021-08-01,TUS,PT,WLD,HOT,59575.0,177547.0
2021-09-01,TUS,PT,WLD,HOT,41352.0,108026.0
2021-10-01,TUS,PT,WLD,HOT,39922.0,94391.0
2021-11-01,TUS,PT,WLD,HOT,21136.0,47399.0
2021-12-01,TUS,PT,WLD,HOT,26170.0,51961.0
