period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PT,EXTR,TOT,10851.0,21957.0
2009-02-01,TUS,PT,EXTR,TOT,12032.0,28566.0
2009-03-01,TUS,PT,EXTR,TOT,33055.0,74300.0
2009-04-01,TUS,PT,EXTR,TOT,61401.0,155383.0
2009-05-01,TUS,PT,EXTR,TOT,58147.0,173439.0
2009-06-01,TUS,PT,EXTR,TOT,56303.0,163543.0
2009-07-01,TUS,PT,EXTR,TOT,55096.0,213382.0
2009-08-01,TUS,PT,EXTR,TOT,44425.0,188735.0
2009-09-01,TUS,PT,EXTR,TOT,55057.0,173187.0
2009-10-01,TUS,PT,EXTR,TOT,45423.0,134341.0
2009-11-01,TUS,PT,EXTR,TOT,9060.0,30341.0
2009-12-01,TUS,PT,EXTR,TOT,6078.0,17927.0
2010-01-01,TUS,PT,EXTR,TOT,6102.0,18438.0
2010-02-01,TUS,PT,EXTR,TOT,9885.0,22813.0
2010-03-01,TUS,PT,EXTR,TOT,34516.0,81038.0
2010-04-01,TUS,PT,EXTR,TOT,53371.0,136591.0
2010-05-01,TUS,PT,EXTR,TOT,64049.0,180049.0
2010-06-01,TUS,PT,EXTR,TOT,64285.0,180029.0
2010-07-01,TUS,PT,EXTR,TOT,64949.0,228668.0
2010-08-01,TUS,PT,EXTR,TOT,51825.0,201153.0
2010-09-01,TUS,PT,EXTR,TOT,67700.0,200600.0
2010-10-01,TUS,PT,EXTR,TOT,50485.0,156240.0
2010-11-01,TUS,PT,EXTR,TOT,13957.0,38329.0
2010-12-01,TUS,PT,EXTR,TOT,6779.0,17185.0
2011-01-01,TUS,PT,EXTR,TOT,6695.0,17395.0
2011-02-01,TUS,PT,EXTR,TOT,10362.0,25455.0
2011-03-01,TUS,PT,EXTR,TOT,29510.0,69601.0
2011-04-01,TUS,PT,EXTR,TOT,66562.0,174720.0
2011-05-01,TUS,PT,EXTR,TOT,67685.0,184698.0
