period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PT,IT,TOT,22586.0,64386.0
2009-02-01,TUS,PT,IT,TOT,25198.0,57920.0
2009-03-01,TUS,PT,IT,TOT,36253.0,85545.0
2009-04-01,TUS,PT,IT,TOT,46760.0,118357.0
2009-05-01,TUS,PT,IT,TOT,37337.0,88933.0
2009-06-01,TUS,PT,IT,TOT,25407.0,74557.0
2009-07-01,TUS,PT,IT,TOT,26011.0,101400.0
2009-08-01,TUS,PT,IT,TOT,32241.0,140842.0
2009-09-01,TUS,PT,IT,TOT,26664.0,102733.0
2009-10-01,TUS,PT,IT,TOT,25654.0,72419.0
2009-11-01,TUS,PT,IT,TOT,17092.0,38024.0
2009-12-01,TUS,PT,IT,TOT,26097.0,58170.0
2010-01-01,TUS,PT,IT,TOT,21846.0,62242.0
2010-02-01,TUS,PT,IT,TOT,23331.0,52603.0
2010-03-01,TUS,PT,IT,TOT,32538.0,76582.0
2010-04-01,TUS,PT,IT,TOT,48263.0,120886.0
2010-05-01,TUS,PT,IT,TOT,32672.0,77403.0
2010-06-01,TUS,PT,IT,TOT,24973.0,72788.0
2010-07-01,TUS,PT,IT,TOT,27071.0,96563.0
2010-08-01,TUS,PT,IT,TOT,29828.0,126101.0
2010-09-01,TUS,PT,IT,TOT,26515.0,100545.0
2010-10-01,TUS,PT,IT,TOT,28273.0,72890.0
2010-11-01,TUS,PT,IT,TOT,16664.0,36852.0
2010-12-01,TUS,PT,IT,TOT,26752.0,59240.0
2011-01-01,TUS,PT,IT,TOT,22862.0,61616.0
2011-02-01,TUS,PT,IT,TOT,24697.0,54382.0
2011-03-01,TUS,PT,IT,TOT,37343.0,84917.0
2011-04-01,TUS,PT,IT,TOT,44372.0,109538.0
2011-05-01,TUS,PT,IT,TOT,32782.0,82060.0
2011-06-01,TUS,PT,IT,TOT,33180.0,89359.0
2011-07-01,TUS,PT,IT,TOT,28753.0,103929.0
2011-08-01,TUS,PT,IT,TOT,32669.0,140962.0
2011-09-01,TUS,PT,IT,TOT,28038.0,108565.0
2011-10-01,TUS,PT,IT,TOT,29343.0,83540.0
2011-11-01,TUS,PT,IT,TOT,17273.0,39415.0
2011-12-01,TUS,PT,IT,TOT,24495.0,54507.0
2012-01-01,TUS,PT,IT,TOT,21225.0,47355.0
2012-02-01,TUS,PT,IT,TOT,22248.0,48194.0
2012-03-01,TUS,PT,IT,TOT,41046.0,89348.0
2012-04-01,TUS,PT,IT,TOT,47534.0,111640.0
2012-05-01,TUS,PT,IT,TOT,34661.0,73060.0
2012-06-01,TUS,PT,IT,TOT,29539.0,70856.0
2012-07-01,TUS,PT,IT,TOT,25009.0,74699.0
2012-08-01,TUS,PT,IT,TOT,32192.0,117686.0
2012-09-01,TUS,PT,IT,TOT,27734.0,93885.0
2012-10-01,TUS,PT,IT,TOT,23817.0,61546.0
2012-11-01,TUS,PT,IT,TOT,23898.0,46244.0
2012-12-01,TUS,PT,IT,TOT,28446.0,53590.0
2013-01-01,TUS,PT,IT,TOT,21190.0,45282.0
2013-02-01,TUS,PT,IT,TOT,24151.0,48212.0
2013-03-01,TUS,PT,IT,TOT,36935.0,73058.0
2013-04-01,TUS,PT,IT,TOT,41519.0,88539.0
2013-05-01,TUS,PT,IT,TOT,33258.0,69897.0
2013-06-01,TUS,PT,IT,TOT,25720.0,59559.0
2013-07-01,TUS,PT,IT,TOT,25619.0,71836.0
2013-08-01,TUS,PT,IT,TOT,32091.0,111440.0
2013-09-01,TUS,PT,IT,TOT,24777.0,78658.0
2013-10-01,TUS,PT,IT,TOT,22207.0,49841.0
2013-11-01,TUS,PT,IT,TOT,28256.0,48640.0
2013-12-01,TUS,PT,IT,TOT,33693.0,59092.0
2014-01-01,TUS,PT,IT,TOT,19039.0,41536.0
2014-02-01,TUS,PT,IT,TOT,21932.0,40904.0
2014-03-01,TUS,PT,IT,TOT,37146.0,70845.0
2014-04-01,TUS,PT,IT,TOT,40944.0,87146.0
2014-05-01,TUS,PT,IT,TOT,32910.0,65738.0
2014-06-01,TUS,PT,IT,TOT,23240.0,51336.0
2014-07-01,TUS,PT,IT,TOT,28024.0,81100.0
2014-08-01,TUS,PT,IT,TOT,32389.0,105347.0
2014-09-01,TUS,PT,IT,TOT,24126.0,72638.0
2014-10-01,TUS,PT,IT,TOT,28998.0,58074.0
2014-11-01,TUS,PT,IT,TOT,33284.0,52747.0
2014-12-01,TUS,PT,IT,TOT,46662.0,75344.0
2015-01-01,TUS,PT,IT,TOT,21770.0,45268.0
2015-02-01,TUS,PT,IT,TOT,24378.0,44739.0
2015-03-01,TUS,PT,IT,TOT,31417.0,61150.0
2015-04-01,TUS,PT,IT,TOT,40997.0,84768.0
2015-05-01,TUS,PT,IT,TOT,34272.0,65439.0
2015-06-01,TUS,PT,IT,TOT,25916.0,61044.0
2015-07-01,TUS,PT,IT,TOT,31188.0,85898.0
2015-08-01,TUS,PT,IT,TOT,34678.0,111208.0
2015-09-01,TUS,PT,IT,TOT,23381.0,70148.0
2015-10-01,TUS,PT,IT,TOT,30091.0,59876.0
2015-11-01,TUS,PT,IT,TOT,24894.0,41390.0
2015-12-01,TUS,PT,IT,TOT,45282.0,76979.0
2016-01-01,TUS,PT,IT,TOT,21990.0,49636.0
2016-02-01,TUS,PT,IT,TOT,23391.0,42555.0
2016-03-01,TUS,PT,IT,TOT,32701.0,63782.0
2016-04-01,TUS,PT,IT,TOT,33749.0,62684.0
2016-05-01,TUS,PT,IT,TOT,24759.0,45022.0
2016-06-01,TUS,PT,IT,TOT,31060.0,66742.0
2016-07-01,TUS,PT,IT,TOT,28771.0,79151.0
2016-08-01,TUS,PT,IT,TOT,33760.0,105990.0
2016-09-01,TUS,PT,IT,TOT,26145.0,72983.0
2016-10-01,TUS,PT,IT,TOT,35496.0,72831.0
2016-11-01,TUS,PT,IT,TOT,21762.0,38686.0
2016-12-01,TUS,PT,IT,TOT,34413.0,63574.0
2017-01-01,TUS,PT,IT,TOT,20759.0,44894.0
2017-02-01,TUS,PT,IT,TOT,22882.0,44224.0
2017-03-01,TUS,PT,IT,TOT,29430.0,59282.0
2017-04-01,TUS,PT,IT,TOT,42467.0,88654.0
2017-05-01,TUS,PT,IT,TOT,28834.0,57536.0
2017-06-01,TUS,PT,IT,TOT,31916.0,67676.0
2017-07-01,TUS,PT,IT,TOT,27588.0,75776.0
2017-08-01,TUS,PT,IT,TOT,34800.0,112515.0
2017-09-01,TUS,PT,IT,TOT,28351.0,74206.0
2017-10-01,TUS,PT,IT,TOT,26242.0,53363.0
