period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,SI,EXTR,EXTRHOT,1243.0,10359.0
2009-02-01,TUS,SI,EXTR,EXTRHOT,1660.0,10565.0
2009-03-01,TUS,SI,EXTR,EXTRHOT,3645.0,19492.0
2009-04-01,TUS,SI,EXTR,EXTRHOT,19620.0,80498.0
2009-05-01,TUS,SI,EXTR,EXTRHOT,32266.0,141110.0
2009-06-01,TUS,SI,EXTR,EXTRHOT,33188.0,173144.0
2009-07-01,TUS,SI,EXTR,EXTRHOT,52331.0,312948.0
2009-08-01,TUS,SI,EXTR,EXTRHOT,49928.0,304451.0
2009-09-01,TUS,SI,EXTR,EXTRHOT,36456.0,180764.0
2009-10-01,TUS,SI,EXTR,EXTRHOT,20545.0,95331.0
2009-11-01,TUS,SI,EXTR,EXTRHOT,3472.0,18218.0
2009-12-01,TUS,SI,EXTR,EXTRHOT,2722.0,13415.0
2010-01-01,TUS,SI,EXTR,EXTRHOT,1692.0,11499.0
2010-02-01,TUS,SI,EXTR,EXTRHOT,1945.0,11160.0
2010-03-01,TUS,SI,EXTR,EXTRHOT,6274.0,27439.0
2010-04-01,TUS,SI,EXTR,EXTRHOT,17584.0,71605.0
2010-05-01,TUS,SI,EXTR,EXTRHOT,36433.0,159055.0
2010-06-01,TUS,SI,EXTR,EXTRHOT,35442.0,176874.0
2010-07-01,TUS,SI,EXTR,EXTRHOT,60511.0,337815.0
2010-08-01,TUS,SI,EXTR,EXTRHOT,49049.0,319226.0
2010-09-01,TUS,SI,EXTR,EXTRHOT,42634.0,198056.0
2010-10-01,TUS,SI,EXTR,EXTRHOT,24012.0,104066.0
2010-11-01,TUS,SI,EXTR,EXTRHOT,3859.0,22674.0
2010-12-01,TUS,SI,EXTR,EXTRHOT,2487.0,14155.0
2011-01-01,TUS,SI,EXTR,EXTRHOT,1705.0,9887.0
2011-02-01,TUS,SI,EXTR,EXTRHOT,1862.0,9264.0
2011-03-01,TUS,SI,EXTR,EXTRHOT,5357.0,22240.0
2011-04-01,TUS,SI,EXTR,EXTRHOT,25701.0,91650.0
2011-05-01,TUS,SI,EXTR,EXTRHOT,33666.0,143358.0
2011-06-01,TUS,SI,EXTR,EXTRHOT,42952.0,204012.0
2011-07-01,TUS,SI,EXTR,EXTRHOT,64671.0,342861.0
2011-08-01,TUS,SI,EXTR,EXTRHOT,52285.0,334210.0
2011-09-01,TUS,SI,EXTR,EXTRHOT,44312.0,207783.0
2011-10-01,TUS,SI,EXTR,EXTRHOT,25229.0,107770.0
2011-11-01,TUS,SI,EXTR,EXTRHOT,4501.0,21932.0
2011-12-01,TUS,SI,EXTR,EXTRHOT,2789.0,12098.0
2012-01-01,TUS,SI,EXTR,EXTRHOT,2129.0,11198.0
2012-02-01,TUS,SI,EXTR,EXTRHOT,1898.0,9551.0
2012-03-01,TUS,SI,EXTR,EXTRHOT,6724.0,22497.0
2012-04-01,TUS,SI,EXTR,EXTRHOT,24227.0,86613.0
2012-05-01,TUS,SI,EXTR,EXTRHOT,38184.0,159991.0
2012-06-01,TUS,SI,EXTR,EXTRHOT,43272.0,200306.0
2012-07-01,TUS,SI,EXTR,EXTRHOT,64633.0,374191.0
2012-08-01,TUS,SI,EXTR,EXTRHOT,53933.0,340947.0
2012-09-01,TUS,SI,EXTR,EXTRHOT,48247.0,207050.0
2012-10-01,TUS,SI,EXTR,EXTRHOT,25440.0,108568.0
2012-11-01,TUS,SI,EXTR,EXTRHOT,5216.0,22100.0
2012-12-01,TUS,SI,EXTR,EXTRHOT,2578.0,11390.0
2013-01-01,TUS,SI,EXTR,EXTRHOT,1825.0,8750.0
2013-02-01,TUS,SI,EXTR,EXTRHOT,2090.0,7718.0
2013-03-01,TUS,SI,EXTR,EXTRHOT,8591.0,28460.0
2013-04-01,TUS,SI,EXTR,EXTRHOT,20230.0,72327.0
2013-05-01,TUS,SI,EXTR,EXTRHOT,45378.0,184697.0
2013-06-01,TUS,SI,EXTR,EXTRHOT,45524.0,203143.0
2013-07-01,TUS,SI,EXTR,EXTRHOT,65871.0,368655.0
2013-08-01,TUS,SI,EXTR,EXTRHOT,59347.0,337414.0
2013-09-01,TUS,SI,EXTR,EXTRHOT,50469.0,213737.0
2013-10-01,TUS,SI,EXTR,EXTRHOT,28625.0,113375.0
2013-11-01,TUS,SI,EXTR,EXTRHOT,4832.0,20356.0
2013-12-01,TUS,SI,EXTR,EXTRHOT,2886.0,12265.0
2014-01-01,TUS,SI,EXTR,EXTRHOT,2511.0,12735.0
2014-02-01,TUS,SI,EXTR,EXTRHOT,2319.0,10986.0
