period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,SI,IT,EXTRHOT,6710.0,44164.0
2009-02-01,TUS,SI,IT,EXTRHOT,6702.0,32770.0
2009-03-01,TUS,SI,IT,EXTRHOT,9528.0,44536.0
2009-04-01,TUS,SI,IT,EXTRHOT,25583.0,77075.0
2009-05-01,TUS,SI,IT,EXTRHOT,25297.0,79982.0
2009-06-01,TUS,SI,IT,EXTRHOT,13980.0,62631.0
2009-07-01,TUS,SI,IT,EXTRHOT,15301.0,69904.0
2009-08-01,TUS,SI,IT,EXTRHOT,30250.0,136214.0
2009-09-01,TUS,SI,IT,EXTRHOT,17120.0,65307.0
2009-10-01,TUS,SI,IT,EXTRHOT,15065.0,52434.0
2009-11-01,TUS,SI,IT,EXTRHOT,8507.0,37763.0
2009-12-01,TUS,SI,IT,EXTRHOT,18980.0,57780.0
2010-01-01,TUS,SI,IT,EXTRHOT,6936.0,48369.0
2010-02-01,TUS,SI,IT,EXTRHOT,6729.0,31958.0
2010-03-01,TUS,SI,IT,EXTRHOT,10061.0,38218.0
2010-04-01,TUS,SI,IT,EXTRHOT,24238.0,73910.0
2010-05-01,TUS,SI,IT,EXTRHOT,18598.0,60060.0
2010-06-01,TUS,SI,IT,EXTRHOT,17049.0,64879.0
2010-07-01,TUS,SI,IT,EXTRHOT,16275.0,65965.0
2010-08-01,TUS,SI,IT,EXTRHOT,31272.0,132517.0
2010-09-01,TUS,SI,IT,EXTRHOT,18206.0,64952.0
2010-10-01,TUS,SI,IT,EXTRHOT,20372.0,61380.0
2010-11-01,TUS,SI,IT,EXTRHOT,7647.0,40253.0
2010-12-01,TUS,SI,IT,EXTRHOT,15243.0,51161.0
2011-01-01,TUS,SI,IT,EXTRHOT,8859.0,49011.0
2011-02-01,TUS,SI,IT,EXTRHOT,6566.0,31249.0
2011-03-01,TUS,SI,IT,EXTRHOT,11611.0,43857.0
2011-04-01,TUS,SI,IT,EXTRHOT,23838.0,73475.0
2011-05-01,TUS,SI,IT,EXTRHOT,16409.0,54744.0
2011-06-01,TUS,SI,IT,EXTRHOT,20508.0,72174.0
2011-07-01,TUS,SI,IT,EXTRHOT,18569.0,72861.0
2011-08-01,TUS,SI,IT,EXTRHOT,32052.0,135411.0
2011-09-01,TUS,SI,IT,EXTRHOT,19530.0,66568.0
2011-10-01,TUS,SI,IT,EXTRHOT,21360.0,68537.0
2011-11-01,TUS,SI,IT,EXTRHOT,7733.0,37745.0
2011-12-01,TUS,SI,IT,EXTRHOT,16043.0,49694.0
2012-01-01,TUS,SI,IT,EXTRHOT,9352.0,49509.0
2012-02-01,TUS,SI,IT,EXTRHOT,4794.0,32348.0
2012-03-01,TUS,SI,IT,EXTRHOT,14498.0,47115.0
2012-04-01,TUS,SI,IT,EXTRHOT,30576.0,87722.0
2012-05-01,TUS,SI,IT,EXTRHOT,16632.0,59383.0
2012-06-01,TUS,SI,IT,EXTRHOT,20541.0,68574.0
2012-07-01,TUS,SI,IT,EXTRHOT,16961.0,68317.0
2012-08-01,TUS,SI,IT,EXTRHOT,30695.0,126199.0
2012-09-01,TUS,SI,IT,EXTRHOT,20608.0,63806.0
2012-10-01,TUS,SI,IT,EXTRHOT,17677.0,51789.0
2012-11-01,TUS,SI,IT,EXTRHOT,13837.0,48526.0
2012-12-01,TUS,SI,IT,EXTRHOT,14736.0,49889.0
2013-01-01,TUS,SI,IT,EXTRHOT,6448.0,38831.0
2013-02-01,TUS,SI,IT,EXTRHOT,5852.0,27554.0
2013-03-01,TUS,SI,IT,EXTRHOT,17102.0,48324.0
2013-04-01,TUS,SI,IT,EXTRHOT,22266.0,65696.0
2013-05-01,TUS,SI,IT,EXTRHOT,16771.0,52564.0
2013-06-01,TUS,SI,IT,EXTRHOT,18252.0,60700.0
2013-07-01,TUS,SI,IT,EXTRHOT,16111.0,58749.0
2013-08-01,TUS,SI,IT,EXTRHOT,31203.0,116104.0
2013-09-01,TUS,SI,IT,EXTRHOT,19003.0,58794.0
2013-10-01,TUS,SI,IT,EXTRHOT,15979.0,48429.0
2013-11-01,TUS,SI,IT,EXTRHOT,14080.0,48976.0
2013-12-01,TUS,SI,IT,EXTRHOT,13543.0,47867.0
2014-01-01,TUS,SI,IT,EXTRHOT,6966.0,41455.0
2014-02-01,TUS,SI,IT,EXTRHOT,6375.0,31555.0
2014-03-01,TUS,SI,IT,EXTRHOT,11505.0,38875.0
2014-04-01,TUS,SI,IT,EXTRHOT,28340.0,78089.0
2014-05-01,TUS,SI,IT,EXTRHOT,22447.0,64076.0
2014-06-01,TUS,SI,IT,EXTRHOT,17006.0,58239.0
2014-07-01,TUS,SI,IT,EXTRHOT,17246.0,63712.0
2014-08-01,TUS,SI,IT,EXTRHOT,33861.0,118580.0
2014-09-01,TUS,SI,IT,EXTRHOT,19014.0,55884.0
2014-10-01,TUS,SI,IT,EXTRHOT,17660.0,48277.0
2014-11-01,TUS,SI,IT,EXTRHOT,10876.0,39027.0
2014-12-01,TUS,SI,IT,EXTRHOT,18033.0,52791.0
2015-01-01,TUS,SI,IT,EXTRHOT,8651.0,41308.0
2015-02-01,TUS,SI,IT,EXTRHOT,7017.0,27508.0
2015-03-01,TUS,SI,IT,EXTRHOT,10972.0,36315.0
2015-04-01,TUS,SI,IT,EXTRHOT,27564.0,69512.0
2015-05-01,TUS,SI,IT,EXTRHOT,27309.0,71180.0
2015-06-01,TUS,SI,IT,EXTRHOT,16577.0,57681.0
2015-07-01,TUS,SI,IT,EXTRHOT,17829.0,63123.0
2015-08-01,TUS,SI,IT,EXTRHOT,35165.0,121411.0
2015-09-01,TUS,SI,IT,EXTRHOT,19723.0,59202.0
2015-10-01,TUS,SI,IT,EXTRHOT,17315.0,50532.0
2015-11-01,TUS,SI,IT,EXTRHOT,10888.0,38462.0
2015-12-01,TUS,SI,IT,EXTRHOT,21968.0,55693.0
