period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,SI,EXTR,HOT,5970.0,20218.0
2009-02-01,TUS,SI,EXTR,HOT,7456.0,16731.0
2009-03-01,TUS,SI,EXTR,HOT,21100.0,44175.0
2009-04-01,TUS,SI,EXTR,HOT,46544.0,105717.0
2009-05-01,TUS,SI,EXTR,HOT,58074.0,149821.0
2009-06-01,TUS,SI,EXTR,HOT,46967.0,125820.0
2009-07-01,TUS,SI,EXTR,HOT,50535.0,155713.0
2009-08-01,TUS,SI,EXTR,HOT,44657.0,132901.0
2009-09-01,TUS,SI,EXTR,HOT,60918.0,160062.0
2009-10-01,TUS,SI,EXTR,HOT,44358.0,109631.0
2009-11-01,TUS,SI,EXTR,HOT,11355.0,30105.0
2009-12-01,TUS,SI,EXTR,HOT,7296.0,17716.0
2010-01-01,TUS,SI,EXTR,HOT,5316.0,14508.0
2010-02-01,TUS,SI,EXTR,HOT,7980.0,16308.0
2010-03-01,TUS,SI,EXTR,HOT,19823.0,40714.0
2010-04-01,TUS,SI,EXTR,HOT,40011.0,90416.0
2010-05-01,TUS,SI,EXTR,HOT,63894.0,161526.0
2010-06-01,TUS,SI,EXTR,HOT,51964.0,137890.0
2010-07-01,TUS,SI,EXTR,HOT,57256.0,163079.0
2010-08-01,TUS,SI,EXTR,HOT,47394.0,135686.0
2010-09-01,TUS,SI,EXTR,HOT,72594.0,186964.0
2010-10-01,TUS,SI,EXTR,HOT,52917.0,131329.0
2010-11-01,TUS,SI,EXTR,HOT,12977.0,29233.0
2010-12-01,TUS,SI,EXTR,HOT,8064.0,18221.0
2011-01-01,TUS,SI,EXTR,HOT,6715.0,16390.0
2011-02-01,TUS,SI,EXTR,HOT,8046.0,15692.0
2011-03-01,TUS,SI,EXTR,HOT,19573.0,37060.0
2011-04-01,TUS,SI,EXTR,HOT,57131.0,118617.0
2011-05-01,TUS,SI,EXTR,HOT,71254.0,173284.0
