period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,SI,IT,HOT,27437.0,63600.0
2009-02-01,TUS,SI,IT,HOT,30542.0,61193.0
2009-03-01,TUS,SI,IT,HOT,44907.0,91251.0
2009-04-01,TUS,SI,IT,HOT,66837.0,144100.0
2009-05-01,TUS,SI,IT,HOT,65149.0,156158.0
2009-06-01,TUS,SI,IT,HOT,41137.0,133188.0
2009-07-01,TUS,SI,IT,HOT,44585.0,183580.0
2009-08-01,TUS,SI,IT,HOT,60540.0,266210.0
2009-09-01,TUS,SI,IT,HOT,53589.0,191354.0
2009-10-01,TUS,SI,IT,HOT,49773.0,126954.0
2009-11-01,TUS,SI,IT,HOT,31321.0,66177.0
2009-12-01,TUS,SI,IT,HOT,39893.0,83956.0
2010-01-01,TUS,SI,IT,HOT,25631.0,67785.0
2010-02-01,TUS,SI,IT,HOT,32102.0,67869.0
2010-03-01,TUS,SI,IT,HOT,43391.0,92525.0
2010-04-01,TUS,SI,IT,HOT,72403.0,154586.0
2010-05-01,TUS,SI,IT,HOT,57287.0,135883.0
2010-06-01,TUS,SI,IT,HOT,49213.0,152848.0
2010-07-01,TUS,SI,IT,HOT,40582.0,166419.0
2010-08-01,TUS,SI,IT,HOT,58452.0,251167.0
2010-09-01,TUS,SI,IT,HOT,55240.0,196493.0
2010-10-01,TUS,SI,IT,HOT,60346.0,147609.0
2010-11-01,TUS,SI,IT,HOT,29790.0,64383.0
2010-12-01,TUS,SI,IT,HOT,37525.0,77855.0
2011-01-01,TUS,SI,IT,HOT,31362.0,75508.0
2011-02-01,TUS,SI,IT,HOT,30168.0,59988.0
2011-03-01,TUS,SI,IT,HOT,43117.0,86394.0
2011-04-01,TUS,SI,IT,HOT,66253.0,141866.0
2011-05-01,TUS,SI,IT,HOT,49443.0,114100.0
2011-06-01,TUS,SI,IT,HOT,51310.0,148470.0
2011-07-01,TUS,SI,IT,HOT,43583.0,156109.0
2011-08-01,TUS,SI,IT,HOT,58947.0,234715.0
2011-09-01,TUS,SI,IT,HOT,54742.0,173322.0
2011-10-01,TUS,SI,IT,HOT,52792.0,128188.0
2011-11-01,TUS,SI,IT,HOT,28319.0,60069.0
2011-12-01,TUS,SI,IT,HOT,38869.0,81091.0
2012-01-01,TUS,SI,IT,HOT,32053.0,78553.0
2012-02-01,TUS,SI,IT,HOT,24833.0,53529.0
2012-03-01,TUS,SI,IT,HOT,52246.0,98946.0
2012-04-01,TUS,SI,IT,HOT,69624.0,148479.0
2012-05-01,TUS,SI,IT,HOT,48261.0,108666.0
2012-06-01,TUS,SI,IT,HOT,50873.0,137143.0
2012-07-01,TUS,SI,IT,HOT,41946.0,140688.0
2012-08-01,TUS,SI,IT,HOT,58231.0,220753.0
2012-09-01,TUS,SI,IT,HOT,56154.0,166607.0
2012-10-01,TUS,SI,IT,HOT,52174.0,122686.0
2012-11-01,TUS,SI,IT,HOT,43672.0,81332.0
2012-12-01,TUS,SI,IT,HOT,34786.0,67348.0
2013-01-01,TUS,SI,IT,HOT,26579.0,53274.0
2013-02-01,TUS,SI,IT,HOT,28358.0,49810.0
2013-03-01,TUS,SI,IT,HOT,51053.0,92762.0
2013-04-01,TUS,SI,IT,HOT,57544.0,111290.0
2013-05-01,TUS,SI,IT,HOT,46346.0,95795.0
2013-06-01,TUS,SI,IT,HOT,48275.0,122795.0
2013-07-01,TUS,SI,IT,HOT,40464.0,123936.0
2013-08-01,TUS,SI,IT,HOT,57819.0,195276.0
2013-09-01,TUS,SI,IT,HOT,53731.0,147682.0
2013-10-01,TUS,SI,IT,HOT,47280.0,100508.0
2013-11-01,TUS,SI,IT,HOT,39277.0,79703.0
2013-12-01,TUS,SI,IT,HOT,34489.0,67796.0
2014-01-01,TUS,SI,IT,HOT,26250.0,65861.0
2014-02-01,TUS,SI,IT,HOT,29767.0,61106.0
2014-03-01,TUS,SI,IT,HOT,44896.0,87693.0
2014-04-01,TUS,SI,IT,HOT,65740.0,140372.0
2014-05-01,TUS,SI,IT,HOT,58275.0,127895.0
2014-06-01,TUS,SI,IT,HOT,42267.0,121713.0
2014-07-01,TUS,SI,IT,HOT,39041.0,126890.0
2014-08-01,TUS,SI,IT,HOT,61385.0,205040.0
2014-09-01,TUS,SI,IT,HOT,49145.0,139680.0
2014-10-01,TUS,SI,IT,HOT,49430.0,115977.0
2014-11-01,TUS,SI,IT,HOT,36026.0,81043.0
2014-12-01,TUS,SI,IT,HOT,43404.0,93427.0
2015-01-01,TUS,SI,IT,HOT,30423.0,70478.0
