period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,SI,WLD,HOT,38457.0,74350.0
2016-02-01,TUS,SI,WLD,HOT,46346.0,80297.0
2016-03-01,TUS,SI,WLD,HOT,79641.0,144355.0
2016-04-01,TUS,SI,WLD,HOT,109511.0,204557.0
2016-05-01,TUS,SI,WLD,HOT,117606.0,250016.0
2016-06-01,TUS,SI,WLD,HOT,110540.0,249979.0
2016-07-01,TUS,SI,WLD,HOT,114942.0,292147.0
2016-08-01,TUS,SI,WLD,HOT,129739.0,349779.0
2016-09-01,TUS,SI,WLD,HOT,130705.0,307170.0
2016-10-01,TUS,SI,WLD,HOT,122196.0,253411.0
2016-11-01,TUS,SI,WLD,HOT,53809.0,98384.0
2016-12-01,TUS,SI,WLD,HOT,60574.0,106762.0
2017-01-01,TUS,SI,WLD,HOT,45835.0,89165.0
2017-02-01,TUS,SI,WLD,HOT,44185.0,75105.0
2017-03-01,TUS,SI,WLD,HOT,72872.0,123632.0
2017-04-01,TUS,SI,WLD,HOT,132751.0,252981.0
2017-05-01,TUS,SI,WLD,HOT,123820.0,254704.0
2017-06-01,TUS,SI,WLD,HOT,118349.0,261353.0
2017-07-01,TUS,SI,WLD,HOT,119838.0,305678.0
2017-08-01,TUS,SI,WLD,HOT,137035.0,360901.0
2017-09-01,TUS,SI,WLD,HOT,137462.0,311114.0
2017-10-01,TUS,SI,WLD,HOT,119188.0,243617.0
2017-11-01,TUS,SI,WLD,HOT,62866.0,113849.0
2017-12-01,TUS,SI,WLD,HOT,67032.0,120574.0
2018-01-01,TUS,SI,WLD,HOT,46732.0,90010.0
2018-02-01,TUS,SI,WLD,HOT,50232.0,85926.0
2018-03-01,TUS,SI,WLD,HOT,87291.0,153259.0
2018-04-01,TUS,SI,WLD,HOT,128206.0,247210.0
2018-05-01,TUS,SI,WLD,HOT,135899.0,273609.0
2018-06-01,TUS,SI,WLD,HOT,129660.0,271319.0
2018-07-01,TUS,SI,WLD,HOT,129199.0,313631.0
2018-08-01,TUS,SI,WLD,HOT,141004.0,358548.0
2018-09-01,TUS,SI,WLD,HOT,146718.0,327153.0
2018-10-01,TUS,SI,WLD,HOT,123936.0,252458.0
2018-11-01,TUS,SI,WLD,HOT,69528.0,127251.0
2018-12-01,TUS,SI,WLD,HOT,71670.0,129276.0
2019-01-01,TUS,SI,WLD,HOT,46457.0,92005.0
2019-02-01,TUS,SI,WLD,HOT,51765.0,89752.0
2019-03-01,TUS,SI,WLD,HOT,84360.0,147095.0
2019-04-01,TUS,SI,WLD,HOT,139048.0,265712.0
2019-05-01,TUS,SI,WLD,HOT,134253.0,264522.0
2019-06-01,TUS,SI,WLD,HOT,132713.0,281076.0
2019-07-01,TUS,SI,WLD,HOT,125203.0,301307.0
2019-08-01,TUS,SI,WLD,HOT,141773.0,352205.0
2019-09-01,TUS,SI,WLD,HOT,140610.0,307495.0
2019-10-01,TUS,SI,WLD,HOT,126491.0,245163.0
2019-11-01,TUS,SI,WLD,HOT,71474.0,127345.0
2019-12-01,TUS,SI,WLD,HOT,65440.0,117964.0
2020-01-01,TUS,SI,WLD,HOT,51987.0,95332.0
2020-02-01,TUS,SI,WLD,HOT,49870.0,85449.0
2020-03-01,TUS,SI,WLD,HOT,7410.0,17267.0
2020-04-01,TUS,SI,WLD,HOT,601.0,4573.0
2020-05-01,TUS,SI,WLD,HOT,2647.0,9586.0
2020-06-01,TUS,SI,WLD,HOT,24114.0,48094.0
2020-07-01,TUS,SI,WLD,HOT,58226.0,127933.0
2020-08-01,TUS,SI,WLD,HOT,128776.0,301129.0
2020-09-01,TUS,SI,WLD,HOT,87751.0,182311.0
2020-10-01,TUS,SI,WLD,HOT,57548.0,110469.0
2020-11-01,TUS,SI,WLD,HOT,8721.0,22622.0
2020-12-01,TUS,SI,WLD,HOT,5608.0,14885.0
2021-01-01,TUS,SI,WLD,HOT,9399.0,23457.0
2021-02-01,TUS,SI,WLD,HOT,11536.0,27636.0
2021-03-01,TUS,SI,WLD,HOT,11762.0,28689.0
2021-04-01,TUS,SI,WLD,HOT,11705.0,27065.0
2021-05-01,TUS,SI,WLD,HOT,43030.0,77542.0
2021-06-01,TUS,SI,WLD,HOT,62230.0,127069.0
2021-07-01,TUS,SI,WLD,HOT,102487.0,229680.0
2021-08-01,TUS,SI,WLD,HOT,147361.0,363308.0
2021-09-01,TUS,SI,WLD,HOT,112775.0,242517.0
2021-10-01,TUS,SI,WLD,HOT,102380.0,200943.0
2021-11-01,TUS,SI,WLD,HOT,51312.0,92874.0
2021-12-01,TUS,SI,WLD,HOT,52459.0,96103.0
