period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,SI,EXTR,TOT,7213.0,30577.0
2009-02-01,TUS,SI,EXTR,TOT,9116.0,27296.0
2009-03-01,TUS,SI,EXTR,TOT,24745.0,63667.0
2009-04-01,TUS,SI,EXTR,TOT,66164.0,186215.0
2009-05-01,TUS,SI,EXTR,TOT,90340.0,290931.0
2009-06-01,TUS,SI,EXTR,TOT,80155.0,298964.0
2009-07-01,TUS,SI,EXTR,TOT,102866.0,468661.0
2009-08-01,TUS,SI,EXTR,TOT,94585.0,437352.0
2009-09-01,TUS,SI,EXTR,TOT,97374.0,340826.0
2009-10-01,TUS,SI,EXTR,TOT,64903.0,204962.0
2009-11-01,TUS,SI,EXTR,TOT,14827.0,48323.0
2009-12-01,TUS,SI,EXTR,TOT,10018.0,31131.0
2010-01-01,TUS,SI,EXTR,TOT,7008.0,26007.0
2010-02-01,TUS,SI,EXTR,TOT,9925.0,27468.0
2010-03-01,TUS,SI,EXTR,TOT,26097.0,68153.0
2010-04-01,TUS,SI,EXTR,TOT,57595.0,162021.0
2010-05-01,TUS,SI,EXTR,TOT,100327.0,320581.0
2010-06-01,TUS,SI,EXTR,TOT,87406.0,314764.0
2010-07-01,TUS,SI,EXTR,TOT,117767.0,500894.0
2010-08-01,TUS,SI,EXTR,TOT,96443.0,454912.0
2010-09-01,TUS,SI,EXTR,TOT,115228.0,385020.0
2010-10-01,TUS,SI,EXTR,TOT,76929.0,235395.0
2010-11-01,TUS,SI,EXTR,TOT,16836.0,51907.0
2010-12-01,TUS,SI,EXTR,TOT,10551.0,32376.0
2011-01-01,TUS,SI,EXTR,TOT,8420.0,26277.0
2011-02-01,TUS,SI,EXTR,TOT,9908.0,24956.0
2011-03-01,TUS,SI,EXTR,TOT,24930.0,59300.0
2011-04-01,TUS,SI,EXTR,TOT,82832.0,210267.0
2011-05-01,TUS,SI,EXTR,TOT,104920.0,316642.0
2011-06-01,TUS,SI,EXTR,TOT,102110.0,362295.0
2011-07-01,TUS,SI,EXTR,TOT,129817.0,527216.0
2011-08-01,TUS,SI,EXTR,TOT,108168.0,494634.0
2011-09-01,TUS,SI,EXTR,TOT,120385.0,406199.0
2011-10-01,TUS,SI,EXTR,TOT,78112.0,243004.0
2011-11-01,TUS,SI,EXTR,TOT,16025.0,49661.0
2011-12-01,TUS,SI,EXTR,TOT,10706.0,30330.0
2012-01-01,TUS,SI,EXTR,TOT,10103.0,31443.0
2012-02-01,TUS,SI,EXTR,TOT,9789.0,27194.0
2012-03-01,TUS,SI,EXTR,TOT,30034.0,68255.0
2012-04-01,TUS,SI,EXTR,TOT,78446.0,208848.0
2012-05-01,TUS,SI,EXTR,TOT,114376.0,352040.0
2012-06-01,TUS,SI,EXTR,TOT,105250.0,365068.0
2012-07-01,TUS,SI,EXTR,TOT,134382.0,572425.0
2012-08-01,TUS,SI,EXTR,TOT,115105.0,512972.0
2012-09-01,TUS,SI,EXTR,TOT,130943.0,415801.0
2012-10-01,TUS,SI,EXTR,TOT,87212.0,263862.0
2012-11-01,TUS,SI,EXTR,TOT,22699.0,59218.0
2012-12-01,TUS,SI,EXTR,TOT,11916.0,30386.0
2013-01-01,TUS,SI,EXTR,TOT,9463.0,25771.0
2013-02-01,TUS,SI,EXTR,TOT,10506.0,22698.0
2013-03-01,TUS,SI,EXTR,TOT,33488.0,77173.0
2013-04-01,TUS,SI,EXTR,TOT,70938.0,182017.0
2013-05-01,TUS,SI,EXTR,TOT,124045.0,378345.0
2013-06-01,TUS,SI,EXTR,TOT,111537.0,371368.0
2013-07-01,TUS,SI,EXTR,TOT,134944.0,561924.0
2013-08-01,TUS,SI,EXTR,TOT,119213.0,507870.0
2013-09-01,TUS,SI,EXTR,TOT,132023.0,416740.0
2013-10-01,TUS,SI,EXTR,TOT,86262.0,258903.0
2013-11-01,TUS,SI,EXTR,TOT,19678.0,58188.0
2013-12-01,TUS,SI,EXTR,TOT,12803.0,37442.0
2014-01-01,TUS,SI,EXTR,TOT,9745.0,29484.0
2014-02-01,TUS,SI,EXTR,TOT,10864.0,27370.0
2014-03-01,TUS,SI,EXTR,TOT,23888.0,56765.0
2014-04-01,TUS,SI,EXTR,TOT,84384.0,212139.0
2014-05-01,TUS,SI,EXTR,TOT,115193.0,331989.0
2014-06-01,TUS,SI,EXTR,TOT,109469.0,374843.0
2014-07-01,TUS,SI,EXTR,TOT,128847.0,526307.0
2014-08-01,TUS,SI,EXTR,TOT,125037.0,517684.0
2014-09-01,TUS,SI,EXTR,TOT,127307.0,415766.0
2014-10-01,TUS,SI,EXTR,TOT,82975.0,257804.0
2014-11-01,TUS,SI,EXTR,TOT,19618.0,68808.0
2014-12-01,TUS,SI,EXTR,TOT,13672.0,49829.0
2015-01-01,TUS,SI,EXTR,TOT,10549.0,35807.0
2015-02-01,TUS,SI,EXTR,TOT,13189.0,36480.0
2015-03-01,TUS,SI,EXTR,TOT,29791.0,73216.0
2015-04-01,TUS,SI,EXTR,TOT,75415.0,202438.0
2015-05-01,TUS,SI,EXTR,TOT,126469.0,370079.0
2015-06-01,TUS,SI,EXTR,TOT,116539.0,389904.0
2015-07-01,TUS,SI,EXTR,TOT,141631.0,555319.0
2015-08-01,TUS,SI,EXTR,TOT,135143.0,541393.0
2015-09-01,TUS,SI,EXTR,TOT,143195.0,460544.0
2015-10-01,TUS,SI,EXTR,TOT,94232.0,284020.0
2015-11-01,TUS,SI,EXTR,TOT,22024.0,67089.0
2015-12-01,TUS,SI,EXTR,TOT,14418.0,44744.0
2016-01-01,TUS,SI,EXTR,TOT,10409.0,27452.0
