period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,SI,IT,TOT,34147.0,107764.0
2009-02-01,TUS,SI,IT,TOT,37244.0,93963.0
2009-03-01,TUS,SI,IT,TOT,54435.0,135787.0
2009-04-01,TUS,SI,IT,TOT,92420.0,221175.0
2009-05-01,TUS,SI,IT,TOT,90446.0,236140.0
2009-06-01,TUS,SI,IT,TOT,55117.0,195819.0
2009-07-01,TUS,SI,IT,TOT,59886.0,253484.0
2009-08-01,TUS,SI,IT,TOT,90790.0,402424.0
2009-09-01,TUS,SI,IT,TOT,70709.0,256661.0
2009-10-01,TUS,SI,IT,TOT,64838.0,179388.0
2009-11-01,TUS,SI,IT,TOT,39828.0,103940.0
2009-12-01,TUS,SI,IT,TOT,58873.0,141736.0
2010-01-01,TUS,SI,IT,TOT,32567.0,116154.0
2010-02-01,TUS,SI,IT,TOT,38831.0,99827.0
2010-03-01,TUS,SI,IT,TOT,53452.0,130743.0
2010-04-01,TUS,SI,IT,TOT,96641.0,228496.0
2010-05-01,TUS,SI,IT,TOT,75885.0,195943.0
2010-06-01,TUS,SI,IT,TOT,66262.0,217727.0
2010-07-01,TUS,SI,IT,TOT,56857.0,232384.0
2010-08-01,TUS,SI,IT,TOT,89724.0,383684.0
2010-09-01,TUS,SI,IT,TOT,73446.0,261445.0
2010-10-01,TUS,SI,IT,TOT,80718.0,208989.0
2010-11-01,TUS,SI,IT,TOT,37437.0,104636.0
2010-12-01,TUS,SI,IT,TOT,52768.0,129016.0
2011-01-01,TUS,SI,IT,TOT,40221.0,124519.0
2011-02-01,TUS,SI,IT,TOT,36734.0,91237.0
2011-03-01,TUS,SI,IT,TOT,54728.0,130251.0
2011-04-01,TUS,SI,IT,TOT,90091.0,215341.0
2011-05-01,TUS,SI,IT,TOT,65852.0,168844.0
2011-06-01,TUS,SI,IT,TOT,71818.0,220644.0
2011-07-01,TUS,SI,IT,TOT,62152.0,228970.0
2011-08-01,TUS,SI,IT,TOT,90999.0,370126.0
2011-09-01,TUS,SI,IT,TOT,74272.0,239890.0
2011-10-01,TUS,SI,IT,TOT,74152.0,196725.0
2011-11-01,TUS,SI,IT,TOT,36052.0,97814.0
2011-12-01,TUS,SI,IT,TOT,54912.0,130785.0
