period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,SI,WLD,TOT,49821.0,117880.0
2016-02-01,TUS,SI,WLD,TOT,58052.0,119100.0
2016-03-01,TUS,SI,WLD,TOT,111148.0,234736.0
2016-04-01,TUS,SI,WLD,TOT,157073.0,339989.0
2016-05-01,TUS,SI,WLD,TOT,188013.0,483685.0
2016-06-01,TUS,SI,WLD,TOT,186070.0,516208.0
2016-07-01,TUS,SI,WLD,TOT,211272.0,695938.0
2016-08-01,TUS,SI,WLD,TOT,231874.0,809037.0
2016-09-01,TUS,SI,WLD,TOT,210413.0,580121.0
2016-10-01,TUS,SI,WLD,TOT,181322.0,431964.0
2016-11-01,TUS,SI,WLD,TOT,70933.0,154389.0
2016-12-01,TUS,SI,WLD,TOT,85220.0,171720.0
2017-01-01,TUS,SI,WLD,TOT,59424.0,137442.0
2017-02-01,TUS,SI,WLD,TOT,55465.0,113010.0
2017-03-01,TUS,SI,WLD,TOT,96397.0,187727.0
2017-04-01,TUS,SI,WLD,TOT,210933.0,459146.0
2017-05-01,TUS,SI,WLD,TOT,195255.0,477471.0
2017-06-01,TUS,SI,WLD,TOT,204184.0,560483.0
2017-07-01,TUS,SI,WLD,TOT,223216.0,736964.0
2017-08-01,TUS,SI,WLD,TOT,247451.0,848270.0
2017-09-01,TUS,SI,WLD,TOT,229300.0,608177.0
2017-10-01,TUS,SI,WLD,TOT,181952.0,427992.0
2017-11-01,TUS,SI,WLD,TOT,84434.0,177894.0
2017-12-01,TUS,SI,WLD,TOT,95954.0,193516.0
2018-01-01,TUS,SI,WLD,TOT,61376.0,144977.0
2018-02-01,TUS,SI,WLD,TOT,63469.0,130102.0
2018-03-01,TUS,SI,WLD,TOT,122215.0,243362.0
2018-04-01,TUS,SI,WLD,TOT,199916.0,442938.0
2018-05-01,TUS,SI,WLD,TOT,223769.0,554223.0
2018-06-01,TUS,SI,WLD,TOT,224786.0,581575.0
2018-07-01,TUS,SI,WLD,TOT,238933.0,778552.0
2018-08-01,TUS,SI,WLD,TOT,259982.0,866305.0
2018-09-01,TUS,SI,WLD,TOT,246800.0,646026.0
2018-10-01,TUS,SI,WLD,TOT,189633.0,449561.0
2018-11-01,TUS,SI,WLD,TOT,96848.0,201968.0
2018-12-01,TUS,SI,WLD,TOT,100645.0,202434.0
2019-01-01,TUS,SI,WLD,TOT,60069.0,141275.0
2019-02-01,TUS,SI,WLD,TOT,64567.0,129723.0
2019-03-01,TUS,SI,WLD,TOT,114021.0,222137.0
2019-04-01,TUS,SI,WLD,TOT,227621.0,495819.0
2019-05-01,TUS,SI,WLD,TOT,218840.0,513850.0
2019-06-01,TUS,SI,WLD,TOT,236516.0,619630.0
2019-07-01,TUS,SI,WLD,TOT,232990.0,740299.0
2019-08-01,TUS,SI,WLD,TOT,267688.0,854850.0
2019-09-01,TUS,SI,WLD,TOT,245855.0,633685.0
2019-10-01,TUS,SI,WLD,TOT,202769.0,465772.0
2019-11-01,TUS,SI,WLD,TOT,100787.0,203190.0
2019-12-01,TUS,SI,WLD,TOT,93186.0,188756.0
2020-01-01,TUS,SI,WLD,TOT,69241.0,150694.0
2020-02-01,TUS,SI,WLD,TOT,64844.0,126998.0
2020-03-01,TUS,SI,WLD,TOT,10219.0,37838.0
2020-04-01,TUS,SI,WLD,TOT,827.0,19162.0
2020-05-01,TUS,SI,WLD,TOT,3575.0,24743.0
2020-06-01,TUS,SI,WLD,TOT,46386.0,110633.0
2020-07-01,TUS,SI,WLD,TOT,126738.0,370922.0
2020-08-01,TUS,SI,WLD,TOT,257880.0,775628.0
2020-09-01,TUS,SI,WLD,TOT,169758.0,427628.0
2020-10-01,TUS,SI,WLD,TOT,98586.0,224576.0
2020-11-01,TUS,SI,WLD,TOT,11479.0,45086.0
2020-12-01,TUS,SI,WLD,TOT,6867.0,32944.0
2021-01-01,TUS,SI,WLD,TOT,11586.0,45771.0
2021-02-01,TUS,SI,WLD,TOT,14424.0,52359.0
2021-03-01,TUS,SI,WLD,TOT,14105.0,55941.0
2021-04-01,TUS,SI,WLD,TOT,15665.0,54559.0
2021-05-01,TUS,SI,WLD,TOT,82622.0,177932.0
2021-06-01,TUS,SI,WLD,TOT,127440.0,315547.0
2021-07-01,TUS,SI,WLD,TOT,220345.0,643064.0
2021-08-01,TUS,SI,WLD,TOT,296789.0,941683.0
2021-09-01,TUS,SI,WLD,TOT,219665.0,577439.0
2021-10-01,TUS,SI,WLD,TOT,184839.0,421628.0
2021-11-01,TUS,SI,WLD,TOT,74573.0,157348.0
2021-12-01,TUS,SI,WLD,TOT,78838.0,163736.0
