period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,TUS,EXTR,EXTRHOT,13783.0,84532.0
2009-02-01,TUS,TUS,EXTR,EXTRHOT,14950.0,82772.0
2009-03-01,TUS,TUS,EXTR,EXTRHOT,26007.0,124564.0
2009-04-01,TUS,TUS,EXTR,EXTRHOT,99943.0,439755.0
2009-05-01,TUS,TUS,EXTR,EXTRHOT,159840.0,780253.0
2009-06-01,TUS,TUS,EXTR,EXTRHOT,179995.0,1111918.0
2009-07-01,TUS,TUS,EXTR,EXTRHOT,337061.0,2268678.0
2009-08-01,TUS,TUS,EXTR,EXTRHOT,317750.0,2052754.0
2009-09-01,TUS,TUS,EXTR,EXTRHOT,194735.0,1213405.0
2009-10-01,TUS,TUS,EXTR,EXTRHOT,95610.0,506304.0
2009-11-01,TUS,TUS,EXTR,EXTRHOT,21786.0,118304.0
2009-12-01,TUS,TUS,EXTR,EXTRHOT,18099.0,93798.0
2010-01-01,TUS,TUS,EXTR,EXTRHOT,15927.0,89086.0
2010-02-01,TUS,TUS,EXTR,EXTRHOT,16758.0,90873.0
2010-03-01,TUS,TUS,EXTR,EXTRHOT,37122.0,158959.0
2010-04-01,TUS,TUS,EXTR,EXTRHOT,86351.0,352895.0
2010-05-01,TUS,TUS,EXTR,EXTRHOT,197363.0,980926.0
2010-06-01,TUS,TUS,EXTR,EXTRHOT,194539.0,1089955.0
2010-07-01,TUS,TUS,EXTR,EXTRHOT,373298.0,2289631.0
2010-08-01,TUS,TUS,EXTR,EXTRHOT,305853.0,2048732.0
2010-09-01,TUS,TUS,EXTR,EXTRHOT,208211.0,1248582.0
2010-10-01,TUS,TUS,EXTR,EXTRHOT,106799.0,560079.0
2010-11-01,TUS,TUS,EXTR,EXTRHOT,23651.0,129123.0
2010-12-01,TUS,TUS,EXTR,EXTRHOT,17703.0,89576.0
2011-01-01,TUS,TUS,EXTR,EXTRHOT,17682.0,94102.0
2011-02-01,TUS,TUS,EXTR,EXTRHOT,17839.0,92225.0
2011-03-01,TUS,TUS,EXTR,EXTRHOT,34104.0,147580.0
2011-04-01,TUS,TUS,EXTR,EXTRHOT,129909.0,503835.0
2011-05-01,TUS,TUS,EXTR,EXTRHOT,157196.0,749835.0
2011-06-01,TUS,TUS,EXTR,EXTRHOT,249621.0,1416909.0
2011-07-01,TUS,TUS,EXTR,EXTRHOT,402792.0,2362286.0
2011-08-01,TUS,TUS,EXTR,EXTRHOT,325556.0,2234363.0
2011-09-01,TUS,TUS,EXTR,EXTRHOT,220792.0,1314314.0
2011-10-01,TUS,TUS,EXTR,EXTRHOT,114742.0,605147.0
2011-11-01,TUS,TUS,EXTR,EXTRHOT,25164.0,139455.0
2011-12-01,TUS,TUS,EXTR,EXTRHOT,20514.0,108112.0
2012-01-01,TUS,TUS,EXTR,EXTRHOT,19916.0,97678.0
2012-02-01,TUS,TUS,EXTR,EXTRHOT,18599.0,95765.0
2012-03-01,TUS,TUS,EXTR,EXTRHOT,40872.0,159565.0
2012-04-01,TUS,TUS,EXTR,EXTRHOT,119748.0,462373.0
2012-05-01,TUS,TUS,EXTR,EXTRHOT,190214.0,878744.0
2012-06-01,TUS,TUS,EXTR,EXTRHOT,230855.0,1255940.0
2012-07-01,TUS,TUS,EXTR,EXTRHOT,399366.0,2489808.0
2012-08-01,TUS,TUS,EXTR,EXTRHOT,325176.0,2193466.0
2012-09-01,TUS,TUS,EXTR,EXTRHOT,244263.0,1349369.0
2012-10-01,TUS,TUS,EXTR,EXTRHOT,114092.0,612274.0
2012-11-01,TUS,TUS,EXTR,EXTRHOT,28936.0,140888.0
2012-12-01,TUS,TUS,EXTR,EXTRHOT,21019.0,99371.0
2013-01-01,TUS,TUS,EXTR,EXTRHOT,20559.0,98542.0
2013-02-01,TUS,TUS,EXTR,EXTRHOT,20595.0,91558.0
2013-03-01,TUS,TUS,EXTR,EXTRHOT,55761.0,210462.0
2013-04-01,TUS,TUS,EXTR,EXTRHOT,103990.0,392873.0
2013-05-01,TUS,TUS,EXTR,EXTRHOT,227420.0,1109677.0
2013-06-01,TUS,TUS,EXTR,EXTRHOT,252365.0,1212956.0
2013-07-01,TUS,TUS,EXTR,EXTRHOT,398386.0,2568745.0
2013-08-01,TUS,TUS,EXTR,EXTRHOT,354571.0,2287311.0
2013-09-01,TUS,TUS,EXTR,EXTRHOT,253126.0,1352305.0
2013-10-01,TUS,TUS,EXTR,EXTRHOT,128146.0,616314.0
2013-11-01,TUS,TUS,EXTR,EXTRHOT,31007.0,141983.0
2013-12-01,TUS,TUS,EXTR,EXTRHOT,25798.0,110961.0
2014-01-01,TUS,TUS,EXTR,EXTRHOT,24811.0,108869.0
2014-02-01,TUS,TUS,EXTR,EXTRHOT,21725.0,97937.0
2014-03-01,TUS,TUS,EXTR,EXTRHOT,39358.0,156283.0
2014-04-01,TUS,TUS,EXTR,EXTRHOT,141166.0,532382.0
2014-05-01,TUS,TUS,EXTR,EXTRHOT,194809.0,807869.0
2014-06-01,TUS,TUS,EXTR,EXTRHOT,275778.0,1466299.0
2014-07-01,TUS,TUS,EXTR,EXTRHOT,395503.0,2391086.0
2014-08-01,TUS,TUS,EXTR,EXTRHOT,391486.0,2344602.0
2014-09-01,TUS,TUS,EXTR,EXTRHOT,260101.0,1452753.0
2014-10-01,TUS,TUS,EXTR,EXTRHOT,133565.0,621635.0
2014-11-01,TUS,TUS,EXTR,EXTRHOT,33807.0,162542.0
2014-12-01,TUS,TUS,EXTR,EXTRHOT,30168.0,136638.0
2015-01-01,TUS,TUS,EXTR,EXTRHOT,28534.0,125444.0
2015-02-01,TUS,TUS,EXTR,EXTRHOT,29240.0,122795.0
2015-03-01,TUS,TUS,EXTR,EXTRHOT,50463.0,189324.0
2015-04-01,TUS,TUS,EXTR,EXTRHOT,124726.0,468934.0
2015-05-01,TUS,TUS,EXTR,EXTRHOT,249852.0,1058282.0
2015-06-01,TUS,TUS,EXTR,EXTRHOT,258872.0,1295601.0
2015-07-01,TUS,TUS,EXTR,EXTRHOT,409090.0,2479708.0
2015-08-01,TUS,TUS,EXTR,EXTRHOT,408316.0,2425698.0
2015-09-01,TUS,TUS,EXTR,EXTRHOT,281930.0,1530175.0
2015-10-01,TUS,TUS,EXTR,EXTRHOT,140639.0,625218.0
2015-11-01,TUS,TUS,EXTR,EXTRHOT,39059.0,171145.0
2015-12-01,TUS,TUS,EXTR,EXTRHOT,32607.0,140080.0
2016-01-01,TUS,TUS,EXTR,EXTRHOT,31090.0,137569.0
2016-02-01,TUS,TUS,EXTR,EXTRHOT,32994.0,138363.0
2016-03-01,TUS,TUS,EXTR,EXTRHOT,72197.0,266946.0
2016-04-01,TUS,TUS,EXTR,EXTRHOT,125786.0,466711.0
2016-05-01,TUS,TUS,EXTR,EXTRHOT,256130.0,1183716.0
2016-06-01,TUS,TUS,EXTR,EXTRHOT,266860.0,1295171.0
2016-07-01,TUS,TUS,EXTR,EXTRHOT,458161.0,2539650.0
2016-08-01,TUS,TUS,EXTR,EXTRHOT,396056.0,2554993.0
2016-09-01,TUS,TUS,EXTR,EXTRHOT,287589.0,1494950.0
2016-10-01,TUS,TUS,EXTR,EXTRHOT,163510.0,711073.0
2016-11-01,TUS,TUS,EXTR,EXTRHOT,41846.0,182677.0
2016-12-01,TUS,TUS,EXTR,EXTRHOT,35361.0,150782.0
2017-01-01,TUS,TUS,EXTR,EXTRHOT,35767.0,151364.0
2017-02-01,TUS,TUS,EXTR,EXTRHOT,34542.0,143470.0
2017-03-01,TUS,TUS,EXTR,EXTRHOT,57427.0,212447.0
2017-04-01,TUS,TUS,EXTR,EXTRHOT,183510.0,654142.0
2017-05-01,TUS,TUS,EXTR,EXTRHOT,228624.0,892959.0
2017-06-01,TUS,TUS,EXTR,EXTRHOT,334301.0,1655987.0
2017-07-01,TUS,TUS,EXTR,EXTRHOT,479955.0,2627574.0
2017-08-01,TUS,TUS,EXTR,EXTRHOT,406026.0,2530886.0
2017-09-01,TUS,TUS,EXTR,EXTRHOT,324328.0,1555228.0
2017-10-01,TUS,TUS,EXTR,EXTRHOT,175273.0,751186.0
2017-11-01,TUS,TUS,EXTR,EXTRHOT,47256.0,208799.0
2017-12-01,TUS,TUS,EXTR,EXTRHOT,39530.0,158749.0
2018-01-01,TUS,TUS,EXTR,EXTRHOT,37776.0,166019.0
2018-02-01,TUS,TUS,EXTR,EXTRHOT,39212.0,158705.0
2018-03-01,TUS,TUS,EXTR,EXTRHOT,87768.0,303911.0
2018-04-01,TUS,TUS,EXTR,EXTRHOT,173001.0,591788.0
2018-05-01,TUS,TUS,EXTR,EXTRHOT,317161.0,1388032.0
2018-06-01,TUS,TUS,EXTR,EXTRHOT,332111.0,1455083.0
2018-07-01,TUS,TUS,EXTR,EXTRHOT,491220.0,2766373.0
2018-08-01,TUS,TUS,EXTR,EXTRHOT,413988.0,2564843.0
2018-09-01,TUS,TUS,EXTR,EXTRHOT,336768.0,1536285.0
2018-10-01,TUS,TUS,EXTR,EXTRHOT,183359.0,782910.0
2018-11-01,TUS,TUS,EXTR,EXTRHOT,54384.0,213745.0
2018-12-01,TUS,TUS,EXTR,EXTRHOT,43624.0,170716.0
2019-01-01,TUS,TUS,EXTR,EXTRHOT,40072.0,166897.0
2019-02-01,TUS,TUS,EXTR,EXTRHOT,41417.0,162007.0
2019-03-01,TUS,TUS,EXTR,EXTRHOT,71552.0,254779.0
2019-04-01,TUS,TUS,EXTR,EXTRHOT,209715.0,728780.0
2019-05-01,TUS,TUS,EXTR,EXTRHOT,262377.0,957266.0
2019-06-01,TUS,TUS,EXTR,EXTRHOT,389741.0,1790810.0
2019-07-01,TUS,TUS,EXTR,EXTRHOT,474417.0,2644908.0
2019-08-01,TUS,TUS,EXTR,EXTRHOT,428138.0,2441456.0
2019-09-01,TUS,TUS,EXTR,EXTRHOT,361343.0,1634378.0
2019-10-01,TUS,TUS,EXTR,EXTRHOT,213069.0,892107.0
2019-11-01,TUS,TUS,EXTR,EXTRHOT,58234.0,224529.0
2019-12-01,TUS,TUS,EXTR,EXTRHOT,50056.0,187954.0
2020-01-01,TUS,TUS,EXTR,EXTRHOT,43885.0,163607.0
2020-02-01,TUS,TUS,EXTR,EXTRHOT,33366.0,114644.0
2020-03-01,TUS,TUS,EXTR,EXTRHOT,3816.0,39491.0
2020-04-01,TUS,TUS,EXTR,EXTRHOT,224.0,19734.0
2020-05-01,TUS,TUS,EXTR,EXTRHOT,601.0,20965.0
2020-06-01,TUS,TUS,EXTR,EXTRHOT,23052.0,109913.0
2020-07-01,TUS,TUS,EXTR,EXTRHOT,135628.0,776869.0
2020-08-01,TUS,TUS,EXTR,EXTRHOT,204220.0,1122094.0
2020-09-01,TUS,TUS,EXTR,EXTRHOT,194459.0,1007771.0
2020-10-01,TUS,TUS,EXTR,EXTRHOT,66218.0,332776.0
2020-11-01,TUS,TUS,EXTR,EXTRHOT,2305.0,26367.0
2020-12-01,TUS,TUS,EXTR,EXTRHOT,1174.0,19642.0
2021-01-01,TUS,TUS,EXTR,EXTRHOT,1540.0,28075.0
2021-02-01,TUS,TUS,EXTR,EXTRHOT,2168.0,29575.0
2021-03-01,TUS,TUS,EXTR,EXTRHOT,2330.0,35175.0
2021-04-01,TUS,TUS,EXTR,EXTRHOT,2976.0,37481.0
2021-05-01,TUS,TUS,EXTR,EXTRHOT,56875.0,264214.0
2021-06-01,TUS,TUS,EXTR,EXTRHOT,108852.0,560548.0
2021-07-01,TUS,TUS,EXTR,EXTRHOT,346505.0,1754279.0
2021-08-01,TUS,TUS,EXTR,EXTRHOT,381154.0,2178086.0
2021-09-01,TUS,TUS,EXTR,EXTRHOT,291273.0,1483542.0
2021-10-01,TUS,TUS,EXTR,EXTRHOT,164508.0,707375.0
2021-11-01,TUS,TUS,EXTR,EXTRHOT,39648.0,131269.0
2021-12-01,TUS,TUS,EXTR,EXTRHOT,25127.0,86868.0
