period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,TUS,IT,EXTRHOT,38382.0,220393.0
2009-02-01,TUS,TUS,IT,EXTRHOT,38898.0,185219.0
2009-03-01,TUS,TUS,IT,EXTRHOT,47420.0,223355.0
2009-04-01,TUS,TUS,IT,EXTRHOT,136531.0,468653.0
2009-05-01,TUS,TUS,IT,EXTRHOT,211310.0,776559.0
2009-06-01,TUS,TUS,IT,EXTRHOT,226022.0,1446982.0
2009-07-01,TUS,TUS,IT,EXTRHOT,285568.0,2380100.0
2009-08-01,TUS,TUS,IT,EXTRHOT,397008.0,3500311.0
2009-09-01,TUS,TUS,IT,EXTRHOT,124603.0,882174.0
2009-10-01,TUS,TUS,IT,EXTRHOT,68018.0,295194.0
2009-11-01,TUS,TUS,IT,EXTRHOT,42465.0,218762.0
2009-12-01,TUS,TUS,IT,EXTRHOT,76591.0,280715.0
2010-01-01,TUS,TUS,IT,EXTRHOT,38320.0,243625.0
2010-02-01,TUS,TUS,IT,EXTRHOT,36592.0,196290.0
2010-03-01,TUS,TUS,IT,EXTRHOT,50464.0,237098.0
2010-04-01,TUS,TUS,IT,EXTRHOT,131381.0,473964.0
2010-05-01,TUS,TUS,IT,EXTRHOT,137368.0,608780.0
2010-06-01,TUS,TUS,IT,EXTRHOT,232749.0,1372475.0
2010-07-01,TUS,TUS,IT,EXTRHOT,315170.0,2405158.0
2010-08-01,TUS,TUS,IT,EXTRHOT,373579.0,3410431.0
2010-09-01,TUS,TUS,IT,EXTRHOT,124911.0,931182.0
2010-10-01,TUS,TUS,IT,EXTRHOT,83736.0,359074.0
2010-11-01,TUS,TUS,IT,EXTRHOT,40902.0,222204.0
2010-12-01,TUS,TUS,IT,EXTRHOT,66292.0,260616.0
2011-01-01,TUS,TUS,IT,EXTRHOT,45124.0,258533.0
2011-02-01,TUS,TUS,IT,EXTRHOT,36243.0,189390.0
2011-03-01,TUS,TUS,IT,EXTRHOT,57514.0,262168.0
2011-04-01,TUS,TUS,IT,EXTRHOT,137497.0,457895.0
2011-05-01,TUS,TUS,IT,EXTRHOT,135508.0,536280.0
2011-06-01,TUS,TUS,IT,EXTRHOT,276148.0,1417198.0
2011-07-01,TUS,TUS,IT,EXTRHOT,333890.0,2402640.0
2011-08-01,TUS,TUS,IT,EXTRHOT,389786.0,3386366.0
2011-09-01,TUS,TUS,IT,EXTRHOT,149868.0,907476.0
2011-10-01,TUS,TUS,IT,EXTRHOT,87156.0,334465.0
2011-11-01,TUS,TUS,IT,EXTRHOT,42240.0,214257.0
2011-12-01,TUS,TUS,IT,EXTRHOT,69636.0,254527.0
2012-01-01,TUS,TUS,IT,EXTRHOT,44955.0,233235.0
2012-02-01,TUS,TUS,IT,EXTRHOT,30612.0,181956.0
2012-03-01,TUS,TUS,IT,EXTRHOT,67617.0,256244.0
2012-04-01,TUS,TUS,IT,EXTRHOT,162965.0,526367.0
