period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,TUS,WLD,EXTRHOT,82370.0,370806.0
2016-02-01,TUS,TUS,WLD,EXTRHOT,82378.0,329769.0
2016-03-01,TUS,TUS,WLD,EXTRHOT,168759.0,585743.0
2016-04-01,TUS,TUS,WLD,EXTRHOT,251414.0,867534.0
2016-05-01,TUS,TUS,WLD,EXTRHOT,383154.0,1696706.0
2016-06-01,TUS,TUS,WLD,EXTRHOT,560632.0,2632224.0
2016-07-01,TUS,TUS,WLD,EXTRHOT,822404.0,4762095.0
2016-08-01,TUS,TUS,WLD,EXTRHOT,794866.0,5620182.0
2016-09-01,TUS,TUS,WLD,EXTRHOT,462089.0,2467943.0
2016-10-01,TUS,TUS,WLD,EXTRHOT,270371.0,1081041.0
2016-11-01,TUS,TUS,WLD,EXTRHOT,98060.0,409346.0
2016-12-01,TUS,TUS,WLD,EXTRHOT,123936.0,438064.0
2017-01-01,TUS,TUS,WLD,EXTRHOT,91752.0,403230.0
2017-02-01,TUS,TUS,WLD,EXTRHOT,84235.0,351795.0
2017-03-01,TUS,TUS,WLD,EXTRHOT,134896.0,481905.0
2017-04-01,TUS,TUS,WLD,EXTRHOT,408371.0,1268425.0
2017-05-01,TUS,TUS,WLD,EXTRHOT,365271.0,1384011.0
2017-06-01,TUS,TUS,WLD,EXTRHOT,689612.0,3112795.0
2017-07-01,TUS,TUS,WLD,EXTRHOT,845409.0,4900688.0
2017-08-01,TUS,TUS,WLD,EXTRHOT,828228.0,5733244.0
2017-09-01,TUS,TUS,WLD,EXTRHOT,503544.0,2523879.0
2017-10-01,TUS,TUS,WLD,EXTRHOT,270533.0,1088214.0
2017-11-01,TUS,TUS,WLD,EXTRHOT,121857.0,477894.0
2017-12-01,TUS,TUS,WLD,EXTRHOT,138072.0,470126.0
2018-01-01,TUS,TUS,WLD,EXTRHOT,96678.0,450056.0
2018-02-01,TUS,TUS,WLD,EXTRHOT,96857.0,410496.0
2018-03-01,TUS,TUS,WLD,EXTRHOT,189996.0,641420.0
2018-04-01,TUS,TUS,WLD,EXTRHOT,376545.0,1221567.0
2018-05-01,TUS,TUS,WLD,EXTRHOT,464088.0,1980013.0
2018-06-01,TUS,TUS,WLD,EXTRHOT,703367.0,2990170.0
2018-07-01,TUS,TUS,WLD,EXTRHOT,839964.0,5066621.0
2018-08-01,TUS,TUS,WLD,EXTRHOT,851970.0,5741281.0
2018-09-01,TUS,TUS,WLD,EXTRHOT,542360.0,2590468.0
2018-10-01,TUS,TUS,WLD,EXTRHOT,285722.0,1147622.0
2018-11-01,TUS,TUS,WLD,EXTRHOT,143727.0,538354.0
2018-12-01,TUS,TUS,WLD,EXTRHOT,147325.0,524327.0
2019-01-01,TUS,TUS,WLD,EXTRHOT,100184.0,463456.0
2019-02-01,TUS,TUS,WLD,EXTRHOT,101543.0,424322.0
2019-03-01,TUS,TUS,WLD,EXTRHOT,173760.0,609702.0
2019-04-01,TUS,TUS,WLD,EXTRHOT,438102.0,1425293.0
2019-05-01,TUS,TUS,WLD,EXTRHOT,408119.0,1500672.0
2019-06-01,TUS,TUS,WLD,EXTRHOT,757182.0,3311183.0
2019-07-01,TUS,TUS,WLD,EXTRHOT,824318.0,4981317.0
2019-08-01,TUS,TUS,WLD,EXTRHOT,921129.0,5837617.0
2019-09-01,TUS,TUS,WLD,EXTRHOT,566561.0,2784950.0
2019-10-01,TUS,TUS,WLD,EXTRHOT,328923.0,1329048.0
2019-11-01,TUS,TUS,WLD,EXTRHOT,153553.0,590929.0
2019-12-01,TUS,TUS,WLD,EXTRHOT,151132.0,566384.0
2020-01-01,TUS,TUS,WLD,EXTRHOT,108530.0,467282.0
2020-02-01,TUS,TUS,WLD,EXTRHOT,89643.0,346569.0
2020-03-01,TUS,TUS,WLD,EXTRHOT,14453.0,165902.0
2020-04-01,TUS,TUS,WLD,EXTRHOT,1914.0,118648.0
2020-05-01,TUS,TUS,WLD,EXTRHOT,20009.0,153979.0
2020-06-01,TUS,TUS,WLD,EXTRHOT,229663.0,928641.0
2020-07-01,TUS,TUS,WLD,EXTRHOT,562249.0,3106996.0
2020-08-01,TUS,TUS,WLD,EXTRHOT,849881.0,4933885.0
2020-09-01,TUS,TUS,WLD,EXTRHOT,449190.0,2276184.0
2020-10-01,TUS,TUS,WLD,EXTRHOT,148043.0,636340.0
2020-11-01,TUS,TUS,WLD,EXTRHOT,16590.0,156981.0
2020-12-01,TUS,TUS,WLD,EXTRHOT,11800.0,138242.0
2021-01-01,TUS,TUS,WLD,EXTRHOT,17164.0,157016.0
2021-02-01,TUS,TUS,WLD,EXTRHOT,21301.0,165014.0
2021-03-01,TUS,TUS,WLD,EXTRHOT,19811.0,186004.0
2021-04-01,TUS,TUS,WLD,EXTRHOT,29256.0,212396.0
2021-05-01,TUS,TUS,WLD,EXTRHOT,218134.0,767797.0
2021-06-01,TUS,TUS,WLD,EXTRHOT,478879.0,2117241.0
2021-07-01,TUS,TUS,WLD,EXTRHOT,834080.0,4480295.0
2021-08-01,TUS,TUS,WLD,EXTRHOT,978630.0,5993816.0
2021-09-01,TUS,TUS,WLD,EXTRHOT,555096.0,2797956.0
2021-10-01,TUS,TUS,WLD,EXTRHOT,325288.0,1150295.0
2021-11-01,TUS,TUS,WLD,EXTRHOT,115854.0,381512.0
2021-12-01,TUS,TUS,WLD,EXTRHOT,120095.0,368476.0
