period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,TUS,EXTR,HOT,127161.0,317484.0
2009-02-01,TUS,TUS,EXTR,HOT,140550.0,345595.0
2009-03-01,TUS,TUS,EXTR,HOT,224467.0,531669.0
2009-04-01,TUS,TUS,EXTR,HOT,363038.0,895503.0
2009-05-01,TUS,TUS,EXTR,HOT,413979.0,1100999.0
2009-06-01,TUS,TUS,EXTR,HOT,377437.0,1059717.0
2009-07-01,TUS,TUS,EXTR,HOT,484522.0,1432215.0
2009-08-01,TUS,TUS,EXTR,HOT,432578.0,1262900.0
2009-09-01,TUS,TUS,EXTR,HOT,499147.0,1431596.0
2009-10-01,TUS,TUS,EXTR,HOT,390888.0,1023932.0
2009-11-01,TUS,TUS,EXTR,HOT,165898.0,420942.0
2009-12-01,TUS,TUS,EXTR,HOT,138364.0,332270.0
2010-01-01,TUS,TUS,EXTR,HOT,125362.0,316221.0
2010-02-01,TUS,TUS,EXTR,HOT,151943.0,355959.0
2010-03-01,TUS,TUS,EXTR,HOT,256351.0,606660.0
2010-04-01,TUS,TUS,EXTR,HOT,370767.0,922048.0
2010-05-01,TUS,TUS,EXTR,HOT,511186.0,1317750.0
2010-06-01,TUS,TUS,EXTR,HOT,482175.0,1279059.0
2010-07-01,TUS,TUS,EXTR,HOT,574736.0,1616021.0
2010-08-01,TUS,TUS,EXTR,HOT,489368.0,1388189.0
2010-09-01,TUS,TUS,EXTR,HOT,577769.0,1592148.0
2010-10-01,TUS,TUS,EXTR,HOT,444586.0,1165866.0
2010-11-01,TUS,TUS,EXTR,HOT,191248.0,482075.0
2010-12-01,TUS,TUS,EXTR,HOT,146451.0,361450.0
2011-01-01,TUS,TUS,EXTR,HOT,130566.0,353369.0
2011-02-01,TUS,TUS,EXTR,HOT,147833.0,366468.0
2011-03-01,TUS,TUS,EXTR,HOT,253889.0,617885.0
2011-04-01,TUS,TUS,EXTR,HOT,462670.0,1137969.0
2011-05-01,TUS,TUS,EXTR,HOT,529594.0,1354658.0
2011-06-01,TUS,TUS,EXTR,HOT,545030.0,1457018.0
2011-07-01,TUS,TUS,EXTR,HOT,639045.0,1777411.0
2011-08-01,TUS,TUS,EXTR,HOT,540581.0,1538950.0
2011-09-01,TUS,TUS,EXTR,HOT,599093.0,1665129.0
2011-10-01,TUS,TUS,EXTR,HOT,458058.0,1219616.0
2011-11-01,TUS,TUS,EXTR,HOT,193317.0,483840.0
2011-12-01,TUS,TUS,EXTR,HOT,151355.0,376442.0
2012-01-01,TUS,TUS,EXTR,HOT,153881.0,379247.0
2012-02-01,TUS,TUS,EXTR,HOT,150709.0,369280.0
2012-03-01,TUS,TUS,EXTR,HOT,279757.0,670129.0
2012-04-01,TUS,TUS,EXTR,HOT,437645.0,1093353.0
2012-05-01,TUS,TUS,EXTR,HOT,538681.0,1417963.0
2012-06-01,TUS,TUS,EXTR,HOT,527665.0,1405975.0
2012-07-01,TUS,TUS,EXTR,HOT,639506.0,1805762.0
2012-08-01,TUS,TUS,EXTR,HOT,544871.0,1556900.0
2012-09-01,TUS,TUS,EXTR,HOT,600695.0,1669644.0
2012-10-01,TUS,TUS,EXTR,HOT,458840.0,1223239.0
2012-11-01,TUS,TUS,EXTR,HOT,203151.0,505795.0
2012-12-01,TUS,TUS,EXTR,HOT,160445.0,374898.0
2013-01-01,TUS,TUS,EXTR,HOT,151318.0,372756.0
2013-02-01,TUS,TUS,EXTR,HOT,166833.0,373814.0
2013-03-01,TUS,TUS,EXTR,HOT,307743.0,737702.0
2013-04-01,TUS,TUS,EXTR,HOT,412550.0,1004719.0
2013-05-01,TUS,TUS,EXTR,HOT,588781.0,1543441.0
2013-06-01,TUS,TUS,EXTR,HOT,563292.0,1472677.0
2013-07-01,TUS,TUS,EXTR,HOT,659246.0,1878884.0
2013-08-01,TUS,TUS,EXTR,HOT,571870.0,1655317.0
