period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,TUS,IT,HOT,200320.0,475224.0
2009-02-01,TUS,TUS,IT,HOT,240112.0,488287.0
2009-03-01,TUS,TUS,IT,HOT,286830.0,606440.0
2009-04-01,TUS,TUS,IT,HOT,374320.0,814885.0
2009-05-01,TUS,TUS,IT,HOT,432506.0,985388.0
2009-06-01,TUS,TUS,IT,HOT,364266.0,1226677.0
2009-07-01,TUS,TUS,IT,HOT,377507.0,1613270.0
2009-08-01,TUS,TUS,IT,HOT,437662.0,2059580.0
2009-09-01,TUS,TUS,IT,HOT,341401.0,1113281.0
2009-10-01,TUS,TUS,IT,HOT,287634.0,662786.0
2009-11-01,TUS,TUS,IT,HOT,222117.0,468923.0
2009-12-01,TUS,TUS,IT,HOT,263414.0,546337.0
2010-01-01,TUS,TUS,IT,HOT,205170.0,495721.0
2010-02-01,TUS,TUS,IT,HOT,229547.0,483138.0
2010-03-01,TUS,TUS,IT,HOT,288719.0,609047.0
2010-04-01,TUS,TUS,IT,HOT,400361.0,860035.0
2010-05-01,TUS,TUS,IT,HOT,368937.0,833812.0
2010-06-01,TUS,TUS,IT,HOT,385185.0,1214920.0
2010-07-01,TUS,TUS,IT,HOT,386953.0,1555114.0
2010-08-01,TUS,TUS,IT,HOT,415666.0,1956425.0
2010-09-01,TUS,TUS,IT,HOT,335441.0,1053572.0
2010-10-01,TUS,TUS,IT,HOT,325998.0,712375.0
2010-11-01,TUS,TUS,IT,HOT,224936.0,477001.0
2010-12-01,TUS,TUS,IT,HOT,249219.0,528055.0
2011-01-01,TUS,TUS,IT,HOT,219967.0,528367.0
2011-02-01,TUS,TUS,IT,HOT,230000.0,469540.0
2011-03-01,TUS,TUS,IT,HOT,305543.0,647111.0
2011-04-01,TUS,TUS,IT,HOT,387336.0,860628.0
2011-05-01,TUS,TUS,IT,HOT,354303.0,826292.0
2011-06-01,TUS,TUS,IT,HOT,416727.0,1286524.0
2011-07-01,TUS,TUS,IT,HOT,394187.0,1559426.0
2011-08-01,TUS,TUS,IT,HOT,412967.0,1939848.0
2011-09-01,TUS,TUS,IT,HOT,355565.0,1106708.0
2011-10-01,TUS,TUS,IT,HOT,315490.0,723958.0
2011-11-01,TUS,TUS,IT,HOT,216408.0,468709.0
2011-12-01,TUS,TUS,IT,HOT,249753.0,529567.0
2012-01-01,TUS,TUS,IT,HOT,217037.0,512692.0
2012-02-01,TUS,TUS,IT,HOT,200793.0,435928.0
2012-03-01,TUS,TUS,IT,HOT,332638.0,681304.0
2012-04-01,TUS,TUS,IT,HOT,385368.0,853989.0
2012-05-01,TUS,TUS,IT,HOT,314587.0,705376.0
2012-06-01,TUS,TUS,IT,HOT,421268.0,1172052.0
2012-07-01,TUS,TUS,IT,HOT,370861.0,1403774.0
2012-08-01,TUS,TUS,IT,HOT,412592.0,1838197.0
2012-09-01,TUS,TUS,IT,HOT,342378.0,1010239.0
2012-10-01,TUS,TUS,IT,HOT,262872.0,596545.0
2012-11-01,TUS,TUS,IT,HOT,262069.0,539140.0
2012-12-01,TUS,TUS,IT,HOT,233257.0,482228.0
2013-01-01,TUS,TUS,IT,HOT,193071.0,428196.0
2013-02-01,TUS,TUS,IT,HOT,207276.0,415431.0
2013-03-01,TUS,TUS,IT,HOT,310968.0,616999.0
2013-04-01,TUS,TUS,IT,HOT,342741.0,728020.0
2013-05-01,TUS,TUS,IT,HOT,314449.0,703049.0
2013-06-01,TUS,TUS,IT,HOT,387116.0,1114810.0
2013-07-01,TUS,TUS,IT,HOT,358515.0,1384545.0
2013-08-01,TUS,TUS,IT,HOT,424804.0,1852235.0
2013-09-01,TUS,TUS,IT,HOT,319187.0,971552.0
2013-10-01,TUS,TUS,IT,HOT,259248.0,582236.0
2013-11-01,TUS,TUS,IT,HOT,255028.0,541549.0
2013-12-01,TUS,TUS,IT,HOT,233303.0,479778.0
2014-01-01,TUS,TUS,IT,HOT,193300.0,439488.0
2014-02-01,TUS,TUS,IT,HOT,205791.0,424108.0
2014-03-01,TUS,TUS,IT,HOT,306070.0,612714.0
2014-04-01,TUS,TUS,IT,HOT,374118.0,805972.0
2014-05-01,TUS,TUS,IT,HOT,376352.0,801191.0
2014-06-01,TUS,TUS,IT,HOT,369368.0,1094763.0
2014-07-01,TUS,TUS,IT,HOT,366716.0,1400193.0
2014-08-01,TUS,TUS,IT,HOT,452473.0,1877820.0
2014-09-01,TUS,TUS,IT,HOT,328465.0,976031.0
2014-10-01,TUS,TUS,IT,HOT,283038.0,616363.0
2014-11-01,TUS,TUS,IT,HOT,247969.0,515482.0
2014-12-01,TUS,TUS,IT,HOT,270150.0,542629.0
2015-01-01,TUS,TUS,IT,HOT,204736.0,462397.0
2015-02-01,TUS,TUS,IT,HOT,228374.0,453880.0
2015-03-01,TUS,TUS,IT,HOT,280900.0,571088.0
2015-04-01,TUS,TUS,IT,HOT,373781.0,767861.0
2015-05-01,TUS,TUS,IT,HOT,399770.0,848483.0
2015-06-01,TUS,TUS,IT,HOT,374322.0,1141407.0
2015-07-01,TUS,TUS,IT,HOT,387731.0,1480139.0
2015-08-01,TUS,TUS,IT,HOT,453847.0,1933655.0
2015-09-01,TUS,TUS,IT,HOT,308405.0,990980.0
2015-10-01,TUS,TUS,IT,HOT,274267.0,628585.0
2015-11-01,TUS,TUS,IT,HOT,239503.0,520549.0
2015-12-01,TUS,TUS,IT,HOT,297148.0,611235.0
2016-01-01,TUS,TUS,IT,HOT,206151.0,493242.0
2016-02-01,TUS,TUS,IT,HOT,233035.0,480763.0
2016-03-01,TUS,TUS,IT,HOT,304895.0,638389.0
2016-04-01,TUS,TUS,IT,HOT,346488.0,702525.0
2016-05-01,TUS,TUS,IT,HOT,305148.0,662850.0
2016-06-01,TUS,TUS,IT,HOT,402746.0,1123676.0
2016-07-01,TUS,TUS,IT,HOT,403934.0,1408484.0
2016-08-01,TUS,TUS,IT,HOT,442249.0,1814995.0
2016-09-01,TUS,TUS,IT,HOT,350540.0,1010024.0
2016-10-01,TUS,TUS,IT,HOT,326050.0,719449.0
2016-11-01,TUS,TUS,IT,HOT,236958.0,507238.0
2016-12-01,TUS,TUS,IT,HOT,281311.0,586538.0
2017-01-01,TUS,TUS,IT,HOT,219584.0,500007.0
2017-02-01,TUS,TUS,IT,HOT,229835.0,461944.0
2017-03-01,TUS,TUS,IT,HOT,295336.0,604781.0
2017-04-01,TUS,TUS,IT,HOT,429546.0,890093.0
2017-05-01,TUS,TUS,IT,HOT,330574.0,715744.0
2017-06-01,TUS,TUS,IT,HOT,436901.0,1181001.0
2017-07-01,TUS,TUS,IT,HOT,399349.0,1407971.0
2017-08-01,TUS,TUS,IT,HOT,441318.0,1822429.0
2017-09-01,TUS,TUS,IT,HOT,348201.0,972355.0
2017-10-01,TUS,TUS,IT,HOT,283162.0,612284.0
2017-11-01,TUS,TUS,IT,HOT,276700.0,568744.0
2017-12-01,TUS,TUS,IT,HOT,290862.0,602302.0
2018-01-01,TUS,TUS,IT,HOT,227923.0,505214.0
2018-02-01,TUS,TUS,IT,HOT,243517.0,489173.0
2018-03-01,TUS,TUS,IT,HOT,321177.0,642807.0
2018-04-01,TUS,TUS,IT,HOT,408792.0,860521.0
2018-05-01,TUS,TUS,IT,HOT,336746.0,723793.0
2018-06-01,TUS,TUS,IT,HOT,456507.0,1185300.0
2018-07-01,TUS,TUS,IT,HOT,400041.0,1401776.0
2018-08-01,TUS,TUS,IT,HOT,453152.0,1811809.0
2018-09-01,TUS,TUS,IT,HOT,371747.0,1020403.0
2018-10-01,TUS,TUS,IT,HOT,290525.0,623161.0
2018-11-01,TUS,TUS,IT,HOT,290734.0,606416.0
2018-12-01,TUS,TUS,IT,HOT,292665.0,603314.0
2019-01-01,TUS,TUS,IT,HOT,222591.0,503104.0
2019-02-01,TUS,TUS,IT,HOT,247273.0,496474.0
2019-03-01,TUS,TUS,IT,HOT,332650.0,673386.0
2019-04-01,TUS,TUS,IT,HOT,414034.0,890668.0
2019-05-01,TUS,TUS,IT,HOT,348803.0,738247.0
2019-06-01,TUS,TUS,IT,HOT,461630.0,1201132.0
2019-07-01,TUS,TUS,IT,HOT,400212.0,1403959.0
2019-08-01,TUS,TUS,IT,HOT,481076.0,1847625.0
2019-09-01,TUS,TUS,IT,HOT,359480.0,991276.0
2019-10-01,TUS,TUS,IT,HOT,306699.0,636151.0
2019-11-01,TUS,TUS,IT,HOT,294863.0,611765.0
2019-12-01,TUS,TUS,IT,HOT,277835.0,584494.0
2020-01-01,TUS,TUS,IT,HOT,226642.0,486686.0
2020-02-01,TUS,TUS,IT,HOT,200161.0,393005.0
2020-03-01,TUS,TUS,IT,HOT,34239.0,91420.0
2020-04-01,TUS,TUS,IT,HOT,4669.0,44831.0
2020-05-01,TUS,TUS,IT,HOT,24974.0,85957.0
2020-06-01,TUS,TUS,IT,HOT,188575.0,460615.0
2020-07-01,TUS,TUS,IT,HOT,377178.0,1188074.0
2020-08-01,TUS,TUS,IT,HOT,544410.0,1862593.0
2020-09-01,TUS,TUS,IT,HOT,349547.0,944072.0
2020-10-01,TUS,TUS,IT,HOT,196516.0,400894.0
2020-11-01,TUS,TUS,IT,HOT,57300.0,159562.0
2020-12-01,TUS,TUS,IT,HOT,47206.0,123455.0
2021-01-01,TUS,TUS,IT,HOT,71589.0,168357.0
2021-02-01,TUS,TUS,IT,HOT,84752.0,191521.0
2021-03-01,TUS,TUS,IT,HOT,81038.0,198464.0
2021-04-01,TUS,TUS,IT,HOT,84271.0,199344.0
2021-05-01,TUS,TUS,IT,HOT,233010.0,471674.0
2021-06-01,TUS,TUS,IT,HOT,395444.0,1051195.0
2021-07-01,TUS,TUS,IT,HOT,472852.0,1527291.0
2021-08-01,TUS,TUS,IT,HOT,574528.0,2020377.0
2021-09-01,TUS,TUS,IT,HOT,408190.0,1069929.0
2021-10-01,TUS,TUS,IT,HOT,357222.0,670226.0
2021-11-01,TUS,TUS,IT,HOT,243343.0,447648.0
2021-12-01,TUS,TUS,IT,HOT,251075.0,466192.0
