period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,TUS,EXTR,TOT,140944.0,402016.0
2009-02-01,TUS,TUS,EXTR,TOT,155500.0,428367.0
2009-03-01,TUS,TUS,EXTR,TOT,250474.0,656233.0
2009-04-01,TUS,TUS,EXTR,TOT,462981.0,1335258.0
2009-05-01,TUS,TUS,EXTR,TOT,573819.0,1881252.0
2009-06-01,TUS,TUS,EXTR,TOT,557432.0,2171635.0
2009-07-01,TUS,TUS,EXTR,TOT,821583.0,3700893.0
2009-08-01,TUS,TUS,EXTR,TOT,750328.0,3315654.0
2009-09-01,TUS,TUS,EXTR,TOT,693882.0,2645001.0
2009-10-01,TUS,TUS,EXTR,TOT,486498.0,1530236.0
2009-11-01,TUS,TUS,EXTR,TOT,187684.0,539246.0
2009-12-01,TUS,TUS,EXTR,TOT,156463.0,426068.0
2010-01-01,TUS,TUS,EXTR,TOT,141289.0,405307.0
2010-02-01,TUS,TUS,EXTR,TOT,168701.0,446832.0
2010-03-01,TUS,TUS,EXTR,TOT,293473.0,765619.0
2010-04-01,TUS,TUS,EXTR,TOT,457118.0,1274943.0
2010-05-01,TUS,TUS,EXTR,TOT,708549.0,2298676.0
2010-06-01,TUS,TUS,EXTR,TOT,676714.0,2369014.0
2010-07-01,TUS,TUS,EXTR,TOT,948034.0,3905652.0
2010-08-01,TUS,TUS,EXTR,TOT,795221.0,3436921.0
2010-09-01,TUS,TUS,EXTR,TOT,785980.0,2840730.0
2010-10-01,TUS,TUS,EXTR,TOT,551385.0,1725945.0
2010-11-01,TUS,TUS,EXTR,TOT,214899.0,611198.0
2010-12-01,TUS,TUS,EXTR,TOT,164154.0,451026.0
2011-01-01,TUS,TUS,EXTR,TOT,148248.0,447471.0
2011-02-01,TUS,TUS,EXTR,TOT,165672.0,458693.0
2011-03-01,TUS,TUS,EXTR,TOT,287993.0,765465.0
2011-04-01,TUS,TUS,EXTR,TOT,592579.0,1641804.0
2011-05-01,TUS,TUS,EXTR,TOT,686790.0,2104493.0
2011-06-01,TUS,TUS,EXTR,TOT,794651.0,2873927.0
2011-07-01,TUS,TUS,EXTR,TOT,1041837.0,4139697.0
2011-08-01,TUS,TUS,EXTR,TOT,866137.0,3773313.0
2011-09-01,TUS,TUS,EXTR,TOT,819885.0,2979443.0
2011-10-01,TUS,TUS,EXTR,TOT,572800.0,1824763.0
2011-11-01,TUS,TUS,EXTR,TOT,218481.0,623295.0
2011-12-01,TUS,TUS,EXTR,TOT,171869.0,484554.0
2012-01-01,TUS,TUS,EXTR,TOT,173797.0,476925.0
2012-02-01,TUS,TUS,EXTR,TOT,169308.0,465045.0
2012-03-01,TUS,TUS,EXTR,TOT,320629.0,829694.0
2012-04-01,TUS,TUS,EXTR,TOT,557393.0,1555726.0
2012-05-01,TUS,TUS,EXTR,TOT,728895.0,2296707.0
2012-06-01,TUS,TUS,EXTR,TOT,758520.0,2661915.0
2012-07-01,TUS,TUS,EXTR,TOT,1038872.0,4295570.0
2012-08-01,TUS,TUS,EXTR,TOT,870047.0,3750366.0
2012-09-01,TUS,TUS,EXTR,TOT,844958.0,3019013.0
2012-10-01,TUS,TUS,EXTR,TOT,572932.0,1835513.0
2012-11-01,TUS,TUS,EXTR,TOT,232087.0,646683.0
2012-12-01,TUS,TUS,EXTR,TOT,181464.0,474269.0
2013-01-01,TUS,TUS,EXTR,TOT,171877.0,471298.0
