period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,TUS,IT,TOT,238702.0,695617.0
2009-02-01,TUS,TUS,IT,TOT,279010.0,673506.0
2009-03-01,TUS,TUS,IT,TOT,334250.0,829795.0
2009-04-01,TUS,TUS,IT,TOT,510851.0,1283538.0
2009-05-01,TUS,TUS,IT,TOT,643816.0,1761947.0
2009-06-01,TUS,TUS,IT,TOT,590288.0,2673659.0
2009-07-01,TUS,TUS,IT,TOT,663075.0,3993370.0
2009-08-01,TUS,TUS,IT,TOT,834670.0,5559891.0
2009-09-01,TUS,TUS,IT,TOT,466004.0,1995455.0
2009-10-01,TUS,TUS,IT,TOT,355652.0,957980.0
2009-11-01,TUS,TUS,IT,TOT,264582.0,687685.0
2009-12-01,TUS,TUS,IT,TOT,340005.0,827052.0
2010-01-01,TUS,TUS,IT,TOT,243490.0,739346.0
2010-02-01,TUS,TUS,IT,TOT,266139.0,679428.0
2010-03-01,TUS,TUS,IT,TOT,339183.0,846145.0
2010-04-01,TUS,TUS,IT,TOT,531742.0,1333999.0
2010-05-01,TUS,TUS,IT,TOT,506305.0,1442592.0
2010-06-01,TUS,TUS,IT,TOT,617934.0,2587395.0
2010-07-01,TUS,TUS,IT,TOT,702123.0,3960272.0
2010-08-01,TUS,TUS,IT,TOT,789245.0,5366856.0
2010-09-01,TUS,TUS,IT,TOT,460352.0,1984754.0
2010-10-01,TUS,TUS,IT,TOT,409734.0,1071449.0
2010-11-01,TUS,TUS,IT,TOT,265838.0,699205.0
2010-12-01,TUS,TUS,IT,TOT,315511.0,788671.0
2011-01-01,TUS,TUS,IT,TOT,265091.0,786900.0
2011-02-01,TUS,TUS,IT,TOT,266243.0,658930.0
2011-03-01,TUS,TUS,IT,TOT,363057.0,909279.0
2011-04-01,TUS,TUS,IT,TOT,524833.0,1318523.0
2011-05-01,TUS,TUS,IT,TOT,489811.0,1362572.0
2011-06-01,TUS,TUS,IT,TOT,692875.0,2703722.0
2011-07-01,TUS,TUS,IT,TOT,728077.0,3962066.0
2011-08-01,TUS,TUS,IT,TOT,802753.0,5326214.0
2011-09-01,TUS,TUS,IT,TOT,505433.0,2014184.0
2011-10-01,TUS,TUS,IT,TOT,402646.0,1058423.0
2011-11-01,TUS,TUS,IT,TOT,258648.0,682966.0
2011-12-01,TUS,TUS,IT,TOT,319389.0,784094.0
2012-01-01,TUS,TUS,IT,TOT,261992.0,745927.0
2012-02-01,TUS,TUS,IT,TOT,231405.0,617884.0
2012-03-01,TUS,TUS,IT,TOT,400255.0,937548.0
2012-04-01,TUS,TUS,IT,TOT,548333.0,1380356.0
2012-05-01,TUS,TUS,IT,TOT,419513.0,1179911.0
2012-06-01,TUS,TUS,IT,TOT,706378.0,2469337.0
2012-07-01,TUS,TUS,IT,TOT,671101.0,3620853.0
2012-08-01,TUS,TUS,IT,TOT,808458.0,5090133.0
2012-09-01,TUS,TUS,IT,TOT,488251.0,1875340.0
2012-10-01,TUS,TUS,IT,TOT,331331.0,884495.0
2012-11-01,TUS,TUS,IT,TOT,323842.0,796844.0
2012-12-01,TUS,TUS,IT,TOT,299102.0,745072.0
2013-01-01,TUS,TUS,IT,TOT,231098.0,649053.0
2013-02-01,TUS,TUS,IT,TOT,243633.0,604254.0
2013-03-01,TUS,TUS,IT,TOT,394287.0,911548.0
2013-04-01,TUS,TUS,IT,TOT,460886.0,1140070.0
2013-05-01,TUS,TUS,IT,TOT,422440.0,1139775.0
2013-06-01,TUS,TUS,IT,TOT,652686.0,2363726.0
2013-07-01,TUS,TUS,IT,TOT,645789.0,3493663.0
2013-08-01,TUS,TUS,IT,TOT,840104.0,4966041.0
2013-09-01,TUS,TUS,IT,TOT,458626.0,1817372.0
2013-10-01,TUS,TUS,IT,TOT,335042.0,883702.0
2013-11-01,TUS,TUS,IT,TOT,321989.0,814554.0
2013-12-01,TUS,TUS,IT,TOT,298743.0,746608.0
2014-01-01,TUS,TUS,IT,TOT,235525.0,672973.0
2014-02-01,TUS,TUS,IT,TOT,244740.0,618137.0
2014-03-01,TUS,TUS,IT,TOT,371532.0,865982.0
2014-04-01,TUS,TUS,IT,TOT,529794.0,1295005.0
2014-05-01,TUS,TUS,IT,TOT,543098.0,1364154.0
2014-06-01,TUS,TUS,IT,TOT,618192.0,2351117.0
2014-07-01,TUS,TUS,IT,TOT,656368.0,3514613.0
2014-08-01,TUS,TUS,IT,TOT,881428.0,5047930.0
2014-09-01,TUS,TUS,IT,TOT,470180.0,1827181.0
2014-10-01,TUS,TUS,IT,TOT,364308.0,909152.0
2014-11-01,TUS,TUS,IT,TOT,303263.0,737033.0
2014-12-01,TUS,TUS,IT,TOT,344677.0,793297.0
2015-01-01,TUS,TUS,IT,TOT,253241.0,689638.0
2015-02-01,TUS,TUS,IT,TOT,271845.0,638294.0
2015-03-01,TUS,TUS,IT,TOT,343291.0,799819.0
2015-04-01,TUS,TUS,IT,TOT,520502.0,1181857.0
2015-05-01,TUS,TUS,IT,TOT,602194.0,1455154.0
2015-06-01,TUS,TUS,IT,TOT,632074.0,2403372.0
2015-07-01,TUS,TUS,IT,TOT,709156.0,3684873.0
2015-08-01,TUS,TUS,IT,TOT,879552.0,5118029.0
2015-09-01,TUS,TUS,IT,TOT,452466.0,1913201.0
2015-10-01,TUS,TUS,IT,TOT,354959.0,935119.0
2015-11-01,TUS,TUS,IT,TOT,297590.0,734667.0
2015-12-01,TUS,TUS,IT,TOT,388950.0,878046.0
2016-01-01,TUS,TUS,IT,TOT,257431.0,726479.0
2016-02-01,TUS,TUS,IT,TOT,282419.0,672169.0
2016-03-01,TUS,TUS,IT,TOT,401457.0,957186.0
2016-04-01,TUS,TUS,IT,TOT,472116.0,1103348.0
2016-05-01,TUS,TUS,IT,TOT,432172.0,1175840.0
2016-06-01,TUS,TUS,IT,TOT,696518.0,2460729.0
2016-07-01,TUS,TUS,IT,TOT,768177.0,3630929.0
2016-08-01,TUS,TUS,IT,TOT,841059.0,4880184.0
2016-09-01,TUS,TUS,IT,TOT,525040.0,1983017.0
2016-10-01,TUS,TUS,IT,TOT,432911.0,1089417.0
2016-11-01,TUS,TUS,IT,TOT,293172.0,733907.0
2016-12-01,TUS,TUS,IT,TOT,369886.0,873820.0
2017-01-01,TUS,TUS,IT,TOT,275569.0,751873.0
2017-02-01,TUS,TUS,IT,TOT,279528.0,670269.0
2017-03-01,TUS,TUS,IT,TOT,372805.0,874239.0
2017-04-01,TUS,TUS,IT,TOT,654407.0,1504376.0
2017-05-01,TUS,TUS,IT,TOT,467221.0,1206796.0
2017-06-01,TUS,TUS,IT,TOT,792212.0,2637809.0
2017-07-01,TUS,TUS,IT,TOT,764803.0,3681085.0
2017-08-01,TUS,TUS,IT,TOT,863520.0,5024787.0
2017-09-01,TUS,TUS,IT,TOT,527417.0,1941006.0
2017-10-01,TUS,TUS,IT,TOT,378422.0,949312.0
2017-11-01,TUS,TUS,IT,TOT,351301.0,837839.0
2017-12-01,TUS,TUS,IT,TOT,389404.0,913679.0
2018-01-01,TUS,TUS,IT,TOT,286825.0,789251.0
2018-02-01,TUS,TUS,IT,TOT,301162.0,740964.0
2018-03-01,TUS,TUS,IT,TOT,423405.0,980316.0
2018-04-01,TUS,TUS,IT,TOT,612336.0,1490300.0
2018-05-01,TUS,TUS,IT,TOT,483673.0,1315774.0
