period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,TUS,WLD,TOT,443104.0,1285175.0
2016-02-01,TUS,TUS,WLD,TOT,499931.0,1267208.0
2016-03-01,TUS,TUS,WLD,TOT,801084.0,2020549.0
2016-04-01,TUS,TUS,WLD,TOT,1004206.0,2565794.0
2016-05-01,TUS,TUS,WLD,TOT,1263185.0,3843874.0
2016-06-01,TUS,TUS,WLD,TOT,1508443.0,5182938.0
2016-07-01,TUS,TUS,WLD,TOT,1878173.0,7975361.0
2016-08-01,TUS,TUS,WLD,TOT,1814827.0,9069597.0
2016-09-01,TUS,TUS,WLD,TOT,1400635.0,5135299.0
2016-10-01,TUS,TUS,WLD,TOT,1059206.0,2996401.0
2016-11-01,TUS,TUS,WLD,TOT,558836.0,1476174.0
2016-12-01,TUS,TUS,WLD,TOT,583714.0,1480541.0
2017-01-01,TUS,TUS,WLD,TOT,494443.0,1365426.0
2017-02-01,TUS,TUS,WLD,TOT,508468.0,1282523.0
2017-03-01,TUS,TUS,WLD,TOT,734753.0,1809764.0
2017-04-01,TUS,TUS,WLD,TOT,1329818.0,3337970.0
2017-05-01,TUS,TUS,WLD,TOT,1279021.0,3540519.0
2017-06-01,TUS,TUS,WLD,TOT,1719949.0,5860582.0
2017-07-01,TUS,TUS,WLD,TOT,1902776.0,8150806.0
2017-08-01,TUS,TUS,WLD,TOT,1866076.0,9214915.0
2017-09-01,TUS,TUS,WLD,TOT,1465574.0,5193817.0
2017-10-01,TUS,TUS,WLD,TOT,1044422.0,2978413.0
2017-11-01,TUS,TUS,WLD,TOT,638430.0,1647152.0
2017-12-01,TUS,TUS,WLD,TOT,617515.0,1553176.0
2018-01-01,TUS,TUS,WLD,TOT,511171.0,1445343.0
2018-02-01,TUS,TUS,WLD,TOT,559614.0,1414892.0
2018-03-01,TUS,TUS,WLD,TOT,849429.0,2096907.0
2018-04-01,TUS,TUS,WLD,TOT,1263732.0,3223158.0
2018-05-01,TUS,TUS,WLD,TOT,1439307.0,4298172.0
2018-06-01,TUS,TUS,WLD,TOT,1771401.0,5722606.0
2018-07-01,TUS,TUS,WLD,TOT,1924391.0,8370953.0
2018-08-01,TUS,TUS,WLD,TOT,1914327.0,9220893.0
2018-09-01,TUS,TUS,WLD,TOT,1551900.0,5326716.0
2018-10-01,TUS,TUS,WLD,TOT,1089242.0,3090926.0
2018-11-01,TUS,TUS,WLD,TOT,680545.0,1769395.0
2018-12-01,TUS,TUS,WLD,TOT,632950.0,1638124.0
2019-01-01,TUS,TUS,WLD,TOT,499472.0,1474947.0
2019-02-01,TUS,TUS,WLD,TOT,558717.0,1445379.0
2019-03-01,TUS,TUS,WLD,TOT,820271.0,2066795.0
2019-04-01,TUS,TUS,WLD,TOT,1356396.0,3531791.0
2019-05-01,TUS,TUS,WLD,TOT,1356860.0,3708563.0
2019-06-01,TUS,TUS,WLD,TOT,1838746.0,6102378.0
2019-07-01,TUS,TUS,WLD,TOT,1886148.0,8196856.0
2019-08-01,TUS,TUS,WLD,TOT,1991555.0,9285777.0
2019-09-01,TUS,TUS,WLD,TOT,1552534.0,5470098.0
2019-10-01,TUS,TUS,WLD,TOT,1151618.0,3272613.0
2019-11-01,TUS,TUS,WLD,TOT,698189.0,1837415.0
2019-12-01,TUS,TUS,WLD,TOT,635774.0,1684689.0
2020-01-01,TUS,TUS,WLD,TOT,518159.0,1413424.0
2020-02-01,TUS,TUS,WLD,TOT,419693.0,1058281.0
2020-03-01,TUS,TUS,WLD,TOT,60521.0,292905.0
2020-04-01,TUS,TUS,WLD,TOT,6872.0,171421.0
2020-05-01,TUS,TUS,WLD,TOT,46673.0,251927.0
2020-06-01,TUS,TUS,WLD,TOT,439846.0,1447760.0
2020-07-01,TUS,TUS,WLD,TOT,1034046.0,4593677.0
2020-08-01,TUS,TUS,WLD,TOT,1537691.0,7210356.0
2020-09-01,TUS,TUS,WLD,TOT,943956.0,3667820.0
2020-10-01,TUS,TUS,WLD,TOT,412372.0,1235943.0
2020-11-01,TUS,TUS,WLD,TOT,81397.0,348037.0
2020-12-01,TUS,TUS,WLD,TOT,63854.0,281052.0
2021-01-01,TUS,TUS,WLD,TOT,95979.0,349898.0
2021-02-01,TUS,TUS,WLD,TOT,115161.0,386013.0
2021-03-01,TUS,TUS,WLD,TOT,110926.0,419806.0
2021-04-01,TUS,TUS,WLD,TOT,121599.0,440223.0
2021-05-01,TUS,TUS,WLD,TOT,492608.0,1350015.0
2021-06-01,TUS,TUS,WLD,TOT,971688.0,3455268.0
2021-07-01,TUS,TUS,WLD,TOT,1565986.0,6776562.0
2021-08-01,TUS,TUS,WLD,TOT,1873361.0,8966803.0
2021-09-01,TUS,TUS,WLD,TOT,1245114.0,4712304.0
2021-10-01,TUS,TUS,WLD,TOT,897407.0,2397831.0
2021-11-01,TUS,TUS,WLD,TOT,456427.0,1068178.0
2021-12-01,TUS,TUS,WLD,TOT,438281.0,1001053.0
